n_days,n_samples,seed,MAE
1,107,0,2.74359130859375
1,101,1,3.043325424194336
1,87,2,1.7747526168823242
1,97,3,2.6532042026519775
1,102,4,1.9112777709960938
1,110,5,2.2777159214019775
1,125,6,3.0363306999206543
1,127,7,2.565260171890259
1,134,8,3.006225109100342
1,116,9,2.9117069244384766
2,223,0,2.205921173095703
2,229,1,2.729339599609375
2,216,2,2.379451036453247
2,160,3,2.932166814804077
2,236,4,1.9280167818069458
2,235,5,1.7774778604507446
2,192,6,3.0566346645355225
2,225,7,2.059387445449829
2,255,8,2.5025100708007812
2,217,9,2.5800905227661133
3,367,0,2.2046666145324707
3,334,1,1.8194786310195923
3,320,2,2.0708096027374268
3,288,3,2.5799009799957275
3,308,4,1.8431854248046875
3,368,5,2.2768821716308594
3,321,6,3.0628726482391357
3,350,7,1.9065301418304443
3,389,8,2.30124568939209
3,346,9,2.3849003314971924
5,584,0,2.219104528427124
5,535,1,1.927945613861084
5,596,2,1.896606683731079
5,565,3,2.8320369720458984
5,559,4,2.084937334060669
5,575,5,1.9632362127304077
5,581,6,2.3653764724731445
5,564,7,1.72529935836792
5,634,8,2.1902151107788086
5,531,9,2.0275440216064453
7,805,0,1.9664663076400757
7,754,1,1.9582277536392212
7,793,2,1.7583518028259277
7,823,3,2.6377625465393066
7,810,4,1.9689596891403198
7,802,5,1.8353455066680908
7,825,6,2.392197847366333
7,815,7,1.7849737405776978
7,836,8,1.8749157190322876
7,760,9,1.9295016527175903
14,1650,0,2.2637438774108887
14,1473,1,1.9024949073791504
14,1505,2,1.7307052612304688
14,1548,3,1.8735970258712769
14,1487,4,1.7630162239074707
14,1506,5,1.7511037588119507
14,1635,6,1.9700831174850464
14,1565,7,1.7350393533706665
14,1644,8,1.8413225412368774
14,1523,9,1.867311716079712
28,3164,0,2.012315511703491
28,2927,1,1.894485354423523
28,3024,2,1.6961690187454224
28,3171,3,1.8087923526763916
28,3074,4,1.88193941116333
28,3174,5,1.8467684984207153
28,3236,6,1.7427211999893188
28,3127,7,1.7009836435317993
28,3145,8,1.7996023893356323
28,3181,9,1.8883501291275024
