resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
60,nowcast,Faiman,-1,0,0,3210,2800,2.110148410586147,2.539751591172372,0.9520090202436315,0,0,0.0
60,nowcast,PG-ResMLP,0,0,60,3210,2800,1.7581915855407715,2.1771973088803076,0.9647326469421387,21,48,2.6
60,nowcast,PG-ResMLP,1,0,60,3210,2800,1.3921616077423096,1.7773255064310947,0.9764976501464844,24,48,2.9
60,nowcast,PG-ResMLP,2,0,60,3210,2800,1.3491772413253784,1.7146428366340494,0.9781261682510376,51,48,5.4
60,nowcast,PG-ResMLP,3,0,60,3210,2800,1.3360892534255981,1.7186101683175656,0.9780248403549194,34,48,3.8
60,nowcast,PG-ResMLP,4,0,60,3210,2800,1.295495629310608,1.6714459875967052,0.9792144298553467,40,48,4.4
60,nowcast,PG-ResMLP,5,0,60,3210,2800,1.3100006580352783,1.695383729624913,0.9786148071289062,31,48,3.5
60,nowcast,PG-ResMLP,6,0,60,3210,2800,1.3328722715377808,1.704808094713603,0.9783763885498047,77,48,7.9
60,nowcast,PG-ResMLP,7,0,60,3210,2800,1.41642427444458,1.8005077626051196,0.9758805632591248,23,48,2.7
60,nowcast,PG-ResMLP,8,0,60,3210,2800,1.3710987567901611,1.7495316151097917,0.977226972579956,28,48,3.4
60,nowcast,PG-ResMLP,9,0,60,3210,2800,1.415829062461853,1.7985166928299046,0.975933849811554,26,48,3.0
60,nowcast,PG-ResMLP,10,0,60,3210,2800,1.3094528913497925,1.6933861964652448,0.9786651730537415,97,48,9.6
60,nowcast,PG-ResMLP,11,0,60,3210,2800,1.3907705545425415,1.7826999317842156,0.9763553142547607,24,48,2.8
60,nowcast,PG-ResMLP,12,0,60,3210,2800,1.6725757122039795,2.0813890794444267,0.9677682518959045,21,48,2.5
60,nowcast,PG-ResMLP,13,0,60,3210,2800,1.3112173080444336,1.687730349607558,0.9788074493408203,200,48,19.4
60,nowcast,PG-ResMLP,14,0,60,3210,2800,1.769181489944458,2.1799720933860356,0.9646427035331726,21,48,2.5
60,nowcast,PG-ResMLP,15,0,60,3210,2800,1.3718351125717163,1.7442137562968105,0.9773651957511902,36,48,3.9
60,nowcast,PG-ResMLP,16,0,60,3210,2800,1.8397517204284668,2.250865134172611,0.9623056650161743,21,48,2.5
60,nowcast,PG-ResMLP,17,0,60,3210,2800,1.3486882448196411,1.7131176997032338,0.9781650900840759,60,48,6.3
60,nowcast,PG-ResMLP,18,0,60,3210,2800,1.3435231447219849,1.7243717155134908,0.9778772592544556,31,48,3.6
60,nowcast,PG-ResMLP,19,0,60,3210,2800,1.2921258211135864,1.679838590701844,0.9790051579475403,34,48,3.9
60,nowcast,LSTM,0,6,0,1460,1322,1.4623465538024902,1.8837882398383052,0.9726136922836304,81,32,13.8
60,nowcast,LSTM,1,6,0,1460,1322,1.5666241645812988,1.9532098980571777,0.9705580472946167,120,32,19.1
60,nowcast,LSTM,2,6,0,1460,1322,1.826088547706604,2.260938335173373,0.9605500102043152,75,32,12.6
60,nowcast,LSTM,3,6,0,1460,1322,1.3573577404022217,1.780462726818842,0.9755355715751648,98,32,15.8
60,nowcast,LSTM,4,6,0,1460,1322,1.4626373052597046,1.8588352221286648,0.9733344316482544,109,32,17.5
60,nowcast,LSTM,5,6,0,1460,1322,1.819751501083374,2.2173318763486503,0.9620571136474609,70,32,11.9
60,nowcast,LSTM,6,6,0,1460,1322,1.5115989446640015,1.9505325812752923,0.9706386923789978,86,32,14.1
60,nowcast,LSTM,7,6,0,1460,1322,1.4123585224151611,1.8409800007410895,0.9738442301750183,114,32,18.1
60,nowcast,LSTM,8,6,0,1460,1322,1.3235148191452026,1.7304979584512954,0.9768893718719482,118,32,18.2
60,nowcast,LSTM,9,6,0,1460,1322,1.7047418355941772,2.1607129998861945,0.9639700651168823,60,32,10.1
60,nowcast,LSTM,10,6,0,1460,1322,1.6217094659805298,2.0147351807019587,0.9686740040779114,101,32,15.4
60,nowcast,LSTM,11,6,0,1460,1322,2.1376805305480957,2.755618857439393,0.9413986802101135,36,32,6.6
60,nowcast,LSTM,12,6,0,1460,1322,1.4173349142074585,1.8342549507331145,0.9740349650382996,97,32,15.1
60,nowcast,LSTM,13,6,0,1460,1322,1.7952306270599365,2.228942241839401,0.9616587162017822,53,32,8.8
60,nowcast,LSTM,14,6,0,1460,1322,1.3549048900604248,1.7489391926423705,0.9763942360877991,122,32,18.1
60,nowcast,LSTM,15,6,0,1460,1322,1.561942458152771,1.9695924439961627,0.9700620770454407,89,32,13.6
60,nowcast,LSTM,16,6,0,1460,1322,1.4372724294662476,1.8503798558777622,0.9735764861106873,134,32,19.1
60,nowcast,LSTM,17,6,0,1460,1322,1.480648398399353,1.8898038105333894,0.9724385142326355,143,32,19.6
60,nowcast,LSTM,18,6,0,1460,1322,1.3851810693740845,1.8027491212450446,0.974919319152832,92,32,13.2
60,nowcast,LSTM,19,6,0,1460,1322,1.890075445175171,2.331147555230121,0.958061933517456,53,32,8.3
60,forecast,PG-ResMLP,0,0,60,2851,2494,3.0947790145874023,4.242358350035648,0.8631412982940674,23,42,2.5
60,forecast,PG-ResMLP,1,0,60,2851,2494,3.1158716678619385,4.275953371698349,0.8609651327133179,23,42,2.5
60,forecast,PG-ResMLP,2,0,60,2851,2494,3.141641139984131,4.3121377544020385,0.8586020469665527,23,42,2.7
60,forecast,PG-ResMLP,3,0,60,2851,2494,3.0726449489593506,4.201458795699762,0.8657674193382263,24,42,2.7
60,forecast,PG-ResMLP,4,0,60,2851,2494,3.110447406768799,4.2729853472807715,0.8611580729484558,23,42,2.5
60,forecast,PG-ResMLP,5,0,60,2851,2494,3.0686631202697754,4.189073181707871,0.8665576577186584,24,42,2.7
60,forecast,PG-ResMLP,6,0,60,2851,2494,3.146712064743042,4.316546766660768,0.8583127856254578,22,42,2.8
