resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
60,nowcast,Faiman,-1,0,0,3210,2800,2.110148410586147,2.539751591172372,0.9520090202436315,0,0,0.0
60,nowcast,PG-ResMLP,0,0,60,3210,2800,1.8622478246688843,2.280443754513314,0.961308479309082,21,48,3.0
60,nowcast,PG-ResMLP,1,0,60,3210,2800,1.4338164329528809,1.8229784782465943,0.9752748012542725,23,48,3.1
60,nowcast,PG-ResMLP,2,0,60,3210,2800,1.3682605028152466,1.7473975995012692,0.9772825241088867,36,48,4.5
60,nowcast,PG-ResMLP,3,0,60,3210,2800,1.3735215663909912,1.7504276706731354,0.9772036671638489,31,48,3.4
60,nowcast,PG-ResMLP,4,0,60,3210,2800,1.295604944229126,1.673051794286706,0.9791744947433472,39,48,4.5
60,nowcast,PG-ResMLP,5,0,60,3210,2800,1.6604666709899902,2.074779484992667,0.9679726362228394,21,48,3.0
60,nowcast,PG-ResMLP,6,0,60,3210,2800,1.3504811525344849,1.7275611440434435,0.9777953624725342,27,48,3.6
60,nowcast,PG-ResMLP,7,0,60,3210,2800,1.7288429737091064,2.1512963711463766,0.9655667543411255,21,48,3.2
60,nowcast,PG-ResMLP,8,0,60,3210,2800,1.3538386821746826,1.7299035658446953,0.9777351021766663,32,48,4.9
60,nowcast,PG-ResMLP,9,0,60,3210,2800,1.4155120849609375,1.7936360233262445,0.9760643243789673,28,48,4.5
60,nowcast,LSTM,0,6,0,1460,1322,1.392115592956543,1.82478640625877,0.974302351474762,89,32,21.5
60,nowcast,LSTM,1,6,0,1460,1322,1.422351598739624,1.8220865012361682,0.9743783473968506,113,32,24.1
60,nowcast,LSTM,2,6,0,1460,1322,1.4400614500045776,1.8566137374898974,0.9733981490135193,124,32,26.6
60,nowcast,LSTM,3,6,0,1460,1322,1.3942497968673706,1.8484214827165217,0.9736323356628418,72,32,16.2
60,nowcast,LSTM,4,6,0,1460,1322,1.6770470142364502,2.0880899931854264,0.966351330280304,80,32,39.2
60,nowcast,LSTM,5,6,0,1460,1322,1.632975697517395,2.0312821605777343,0.9681572914123535,95,32,51.3
60,nowcast,LSTM,6,6,0,1460,1322,1.7882094383239746,2.1852476240685665,0.9631472229957581,103,32,18.2
60,nowcast,LSTM,7,6,0,1460,1322,1.6202123165130615,2.028525888000889,0.9682436585426331,152,32,29.0
60,nowcast,LSTM,8,6,0,1460,1322,1.757094144821167,2.1532104740977274,0.964219868183136,109,32,31.2
60,nowcast,LSTM,9,6,0,1460,1322,2.2985305786132812,2.71957779482599,0.9429215788841248,57,32,13.2
