site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,60,nowcast,Faiman,-1,773,194,1.445645809173584,1.8536360192063648,0.9779844284057617,0,0,0.0
CO,60,nowcast,PG-ResMLP,0,773,194,1.2239563465118408,1.6130359823443259,0.9833287000656128,200,32,13.1
CO,60,nowcast,PG-ResMLP,1,773,194,1.2421308755874634,1.6613173788742504,0.9823157787322998,200,32,13.1
CO,60,nowcast,PG-ResMLP,2,773,194,1.2519367933273315,1.6859848850156458,0.9817867279052734,200,32,12.9
CO,60,nowcast,PG-ResMLP,3,773,194,1.240247130393982,1.6152611652998579,0.9832826852798462,114,32,7.6
CO,60,nowcast,PG-ResMLP,4,773,194,1.2502943277359009,1.6711914233696603,0.9821048974990845,200,32,13.0
CO,60,nowcast,PG-ResMLP,5,773,194,1.2927443981170654,1.6989407717578509,0.9815056920051575,200,32,12.8
CO,60,nowcast,PG-ResMLP,6,773,194,1.2177680730819702,1.627759131620253,0.9830229878425598,200,32,12.7
CO,60,nowcast,PG-ResMLP,7,773,194,1.2089601755142212,1.6166550501507668,0.9832538366317749,200,32,12.7
CO,60,nowcast,PG-ResMLP,8,773,194,1.2186287641525269,1.5944764968465266,0.9837101101875305,200,32,12.8
CO,60,nowcast,PG-ResMLP,9,773,194,1.243826985359192,1.6397222305786976,0.9827725291252136,181,32,11.7
CO,60,nowcast,PG-ResMLP,10,773,194,1.2325313091278076,1.6510051237889802,0.982534646987915,200,32,12.8
CO,60,nowcast,PG-ResMLP,11,773,194,1.1888377666473389,1.6019884240950208,0.9835562705993652,200,32,12.8
CO,60,nowcast,PG-ResMLP,12,773,194,1.2391165494918823,1.6478958324685933,0.9826003313064575,200,32,12.9
CO,60,nowcast,PG-ResMLP,13,773,194,1.2416683435440063,1.6343243913856502,0.9828857779502869,200,32,12.8
CO,60,nowcast,PG-ResMLP,14,773,194,1.2639356851577759,1.6703871764715745,0.9821221232414246,200,32,12.8
CO,60,nowcast,PG-ResMLP,15,773,194,1.1893644332885742,1.59987130541598,0.9835997223854065,200,32,12.8
CO,60,nowcast,PG-ResMLP,16,773,194,1.2667064666748047,1.6757023577137256,0.982008159160614,200,32,12.8
CO,60,nowcast,PG-ResMLP,17,773,194,1.171317458152771,1.5799633687034336,0.984005331993103,200,32,12.8
CO,60,nowcast,PG-ResMLP,18,773,194,1.204649567604065,1.6013956866966026,0.9835684299468994,200,32,12.7
CO,60,nowcast,PG-ResMLP,19,773,194,1.2204197645187378,1.6143660696552837,0.9833012223243713,200,32,12.8
CO,60,forecast,PG-ResMLP,0,517,130,3.8936257362365723,5.18977820685082,0.8110016584396362,44,32,3.0
CO,60,forecast,PG-ResMLP,1,517,130,3.981626510620117,5.170497561036706,0.8124033212661743,47,32,3.1
CO,60,forecast,PG-ResMLP,2,517,130,3.514268159866333,4.943556535602999,0.8285097479820251,200,32,11.8
CO,60,forecast,PG-ResMLP,3,517,130,3.821585178375244,5.099136219551982,0.8175458908081055,53,32,3.5
CO,60,forecast,PG-ResMLP,4,517,130,3.9295876026153564,5.162415119055247,0.812989354133606,53,32,3.5
CO,60,forecast,PG-ResMLP,5,517,130,3.970482349395752,5.249764936725181,0.8066072463989258,53,32,3.5
CO,60,forecast,PG-ResMLP,6,517,130,3.8004074096679688,5.095182439740336,0.8178287148475647,54,32,3.6
CO,60,forecast,PG-ResMLP,7,517,130,4.057737827301025,5.223806889304776,0.8085150718688965,47,32,3.2
CO,60,forecast,PG-ResMLP,8,517,130,4.017988204956055,5.27149233511811,0.8050031661987305,47,32,3.2
CO,60,forecast,PG-ResMLP,9,517,130,3.9446420669555664,5.168476751593519,0.8125499486923218,45,32,3.1
CO,60,forecast,PG-ResMLP,10,517,130,3.8150086402893066,5.002993831785503,0.824361264705658,52,32,3.5
CO,60,forecast,PG-ResMLP,11,517,130,3.984575033187866,5.217795278970055,0.8089555501937866,45,32,3.0
CO,60,forecast,PG-ResMLP,12,517,130,3.8628463745117188,5.23131086708308,0.807964563369751,59,32,3.9
CO,60,forecast,PG-ResMLP,13,517,130,4.051950454711914,5.254554226421895,0.8062542676925659,48,32,3.2
CO,60,forecast,PG-ResMLP,14,517,130,4.064135551452637,5.312437887389653,0.80196213722229,49,32,3.3
CO,60,forecast,PG-ResMLP,15,517,130,4.0016326904296875,5.228325014911358,0.8081836700439453,49,32,3.3
CO,60,forecast,PG-ResMLP,16,517,130,3.885061264038086,5.161029796600807,0.8130897283554077,49,32,3.3
CO,60,forecast,PG-ResMLP,17,517,130,3.9987876415252686,5.1646981129491385,0.8128239512443542,47,32,3.2
CO,60,forecast,PG-ResMLP,18,517,130,3.9081192016601562,5.164461013722135,0.8128411173820496,48,32,3.2
CO,60,forecast,PG-ResMLP,19,517,130,4.124282360076904,5.243172520335653,0.8070926666259766,46,32,3.1
CO,30,nowcast,Faiman,-1,2358,590,1.716529130935669,2.261166098215313,0.9699530005455017,0,0,0.0
CO,30,nowcast,PG-ResMLP,0,2358,590,1.5588674545288086,1.9819940415416963,0.9769144058227539,200,35,18.1
CO,30,nowcast,PG-ResMLP,1,2358,590,1.6284730434417725,2.0564238315373005,0.9751480221748352,200,35,18.3
CO,30,nowcast,PG-ResMLP,2,2358,590,1.6711220741271973,2.0980035647061066,0.9741328358650208,51,35,5.0
CO,30,nowcast,PG-ResMLP,3,2358,590,1.635568380355835,2.0495737935331677,0.9753133058547974,27,35,2.9
CO,30,nowcast,PG-ResMLP,4,2358,590,1.6370691061019897,2.0516432340240827,0.9752634167671204,47,35,4.7
CO,30,nowcast,PG-ResMLP,5,2358,590,1.5307748317718506,1.9690965619915082,0.9772139191627502,200,35,18.2
CO,30,nowcast,PG-ResMLP,6,2358,590,1.6596953868865967,2.0910420912634216,0.9743042588233948,179,35,16.4
CO,30,nowcast,PG-ResMLP,7,2358,590,1.6099445819854736,2.04623426353262,0.9753936529159546,200,35,18.2
CO,30,nowcast,PG-ResMLP,8,2358,590,1.6647653579711914,2.08042218582009,0.9745645523071289,50,35,4.9
CO,30,nowcast,PG-ResMLP,9,2358,590,1.597420334815979,2.014697312369163,0.9761463403701782,104,35,9.6
CO,30,nowcast,PG-ResMLP,10,2358,590,1.638736367225647,2.0426671697219216,0.9754794239997864,29,35,3.0
CO,30,nowcast,PG-ResMLP,11,2358,590,1.5115267038345337,1.9395459355546878,0.9778926968574524,124,35,11.3
CO,30,nowcast,PG-ResMLP,12,2358,590,1.5964336395263672,2.019901913064919,0.9760228991508484,28,35,2.9
CO,30,nowcast,PG-ResMLP,13,2358,590,1.6415847539901733,2.065202503019741,0.9749353528022766,29,35,3.0
CO,30,nowcast,PG-ResMLP,14,2358,590,1.6519774198532104,2.0702729995126212,0.9748121500015259,198,35,17.8
CO,30,nowcast,PG-ResMLP,15,2358,590,1.6505070924758911,2.0635766196014678,0.9749748110771179,55,35,5.3
CO,30,nowcast,PG-ResMLP,16,2358,590,1.6294820308685303,2.0425356228919167,0.9754825830459595,200,35,18.2
CO,30,nowcast,PG-ResMLP,17,2358,590,1.613285779953003,2.0356434185915346,0.9756477475166321,28,35,3.0
CO,30,nowcast,PG-ResMLP,18,2358,590,1.58915376663208,2.0116667213008004,0.976218044757843,131,35,12.1
CO,30,nowcast,PG-ResMLP,19,2358,590,1.5474685430526733,1.98098760124767,0.9769378900527954,102,35,9.5
CO,30,nowcast,LSTM,0,844,216,3.188901662826538,3.8260177106113376,0.903611958026886,36,32,4.9
CO,30,nowcast,LSTM,1,844,216,2.942732572555542,3.482184846506115,0.9201577305793762,49,32,6.2
CO,30,nowcast,LSTM,2,844,216,2.7579758167266846,3.3007670927026274,0.9282603859901428,48,32,6.0
CO,30,nowcast,LSTM,3,844,216,3.1750431060791016,3.7739095767721227,0.9062196016311646,39,32,5.2
CO,30,nowcast,LSTM,4,844,216,2.664463520050049,3.1650509644272513,0.934038519859314,54,32,6.7
CO,30,nowcast,LSTM,5,844,216,3.403414487838745,4.211584943776804,0.8832060694694519,34,32,4.7
CO,30,nowcast,LSTM,6,844,216,2.2052385807037354,2.6400891725334246,0.9541049003601074,85,32,9.5
CO,30,nowcast,LSTM,7,844,216,2.1830875873565674,2.645672099890298,0.9539105892181396,83,32,9.3
CO,30,nowcast,LSTM,8,844,216,2.6431078910827637,3.174147369761426,0.93365877866745,50,32,6.2
CO,30,nowcast,LSTM,9,844,216,2.8001651763916016,3.347332327805017,0.926222026348114,48,32,6.0
CO,30,nowcast,LSTM,10,844,216,2.9022216796875,3.455108763201494,0.9213945865631104,50,32,6.2
CO,30,nowcast,LSTM,11,844,216,2.4830594062805176,2.9524058924704177,0.9426040649414062,54,32,6.6
CO,30,nowcast,LSTM,12,844,216,2.6524291038513184,3.2632352855423394,0.9298825860023499,51,32,6.3
CO,30,nowcast,LSTM,13,844,216,2.2742462158203125,2.707160275069308,0.9517433643341064,78,32,8.7
CO,30,nowcast,LSTM,14,844,216,2.800664186477661,3.296832477602703,0.9284313321113586,46,32,5.9
CO,30,nowcast,LSTM,15,844,216,3.0594849586486816,3.688850155656398,0.910399317741394,44,32,5.8
CO,30,nowcast,LSTM,16,844,216,2.5615463256835938,3.053827267081891,0.9385929703712463,67,32,7.9
CO,30,nowcast,LSTM,17,844,216,2.278402328491211,2.7692321701942877,0.9495050311088562,57,32,7.0
CO,30,nowcast,LSTM,18,844,216,2.49721360206604,2.9728978142856795,0.9418045282363892,57,32,6.9
CO,30,nowcast,LSTM,19,844,216,2.4322621822357178,2.8963969571792347,0.9447610378265381,69,32,8.0
CO,30,forecast,PG-ResMLP,0,1889,481,2.348768472671509,3.501100911974003,0.9235203862190247,65,32,5.9
CO,30,forecast,PG-ResMLP,1,1889,481,2.4491214752197266,3.582815768693314,0.9199086427688599,47,32,4.4
CO,30,forecast,PG-ResMLP,2,1889,481,2.429076671600342,3.566480052974041,0.9206373691558838,55,32,5.2
CO,30,forecast,PG-ResMLP,3,1889,481,2.393296241760254,3.538878177112262,0.9218609929084778,61,32,5.6
CO,30,forecast,PG-ResMLP,4,1889,481,2.4565675258636475,3.5498487467176334,0.9213758111000061,47,32,4.4
CO,30,forecast,PG-ResMLP,5,1889,481,2.4298980236053467,3.535845981143433,0.9219948649406433,57,32,5.2
CO,30,forecast,PG-ResMLP,6,1889,481,2.4561030864715576,3.5499506987251115,0.9213712811470032,40,32,3.9
CO,30,forecast,PG-ResMLP,7,1889,481,2.4845168590545654,3.561904723643649,0.920840859413147,49,32,4.6
CO,30,forecast,PG-ResMLP,8,1889,481,2.473383665084839,3.56803504209032,0.9205681085586548,38,32,3.7
CO,30,forecast,PG-ResMLP,9,1889,481,2.424964666366577,3.5614870203958002,0.9208593964576721,47,32,4.4
CO,30,forecast,PG-ResMLP,10,1889,481,2.3747217655181885,3.5224460467179015,0.9225849509239197,200,32,17.4
CO,30,forecast,PG-ResMLP,11,1889,481,2.3953990936279297,3.5458138512787047,0.921554446220398,60,32,5.7
CO,30,forecast,PG-ResMLP,12,1889,481,2.4094605445861816,3.531822495766394,0.9221723079681396,81,32,7.2
CO,30,forecast,PG-ResMLP,13,1889,481,2.4431135654449463,3.566956927767469,0.9206161499023438,58,32,5.3
CO,30,forecast,PG-ResMLP,14,1889,481,2.3847672939300537,3.5070132426111678,0.923261821269989,84,32,7.5
CO,30,forecast,PG-ResMLP,15,1889,481,2.5039799213409424,3.552232636626142,0.9212701320648193,35,32,3.4
CO,30,forecast,PG-ResMLP,16,1889,481,2.435833692550659,3.5638672731305134,0.9207535982131958,93,32,8.4
CO,30,forecast,PG-ResMLP,17,1889,481,2.4794130325317383,3.5747271400306047,0.9202699065208435,41,32,3.9
CO,30,forecast,PG-ResMLP,18,1889,481,2.4632692337036133,3.56480373382681,0.9207119345664978,50,32,4.6
CO,30,forecast,PG-ResMLP,19,1889,481,2.5165605545043945,3.5802251657610626,0.9200244545936584,38,32,3.7
CO,30,forecast,LSTM,0,702,179,4.376120567321777,5.172159699962296,0.8310211896896362,33,32,4.4
CO,30,forecast,LSTM,1,702,179,4.198625564575195,5.071384498819162,0.8375418186187744,34,32,4.6
CO,30,forecast,LSTM,2,702,179,3.581291675567627,4.405572068027265,0.8773992657661438,41,32,5.1
CO,30,forecast,LSTM,3,702,179,3.6260263919830322,4.358166380116453,0.8800235390663147,41,32,5.2
CO,30,forecast,LSTM,4,702,179,3.775625228881836,4.541177962488071,0.8697356581687927,38,32,5.0
CO,30,forecast,LSTM,5,702,179,4.209855556488037,5.0538961507425375,0.8386603593826294,35,32,4.7
CO,30,forecast,LSTM,6,702,179,4.276800155639648,5.241048720443598,0.8264898657798767,37,32,4.8
CO,30,forecast,LSTM,7,702,179,3.6004676818847656,4.328175017691018,0.8816691040992737,45,32,5.6
CO,30,forecast,LSTM,8,702,179,3.740483283996582,4.496822718991715,0.8722679018974304,41,32,5.2
CO,30,forecast,LSTM,9,702,179,3.8355231285095215,4.5793973957741265,0.867533802986145,46,32,5.6
CO,30,forecast,LSTM,10,702,179,4.259155750274658,5.1365115511918535,0.833342432975769,39,32,4.9
CO,30,forecast,LSTM,11,702,179,3.5232410430908203,4.243822207840792,0.8862365484237671,41,32,5.2
CO,30,forecast,LSTM,12,702,179,3.7165112495422363,4.4527909002958825,0.8747571110725403,48,32,5.8
CO,30,forecast,LSTM,13,702,179,4.4309306144714355,5.327179497646619,0.8207401037216187,32,32,4.4
CO,30,forecast,LSTM,14,702,179,3.830683946609497,4.575851969785479,0.8677388429641724,38,32,4.9
CO,30,forecast,LSTM,15,702,179,4.06036901473999,4.892048296536384,0.8488284945487976,39,32,5.1
CO,30,forecast,LSTM,16,702,179,3.4713563919067383,4.3381559727910535,0.8811227083206177,40,32,5.2
CO,30,forecast,LSTM,17,702,179,3.7878174781799316,4.580904901056604,0.8674465417861938,39,32,5.0
CO,30,forecast,LSTM,18,702,179,3.947664976119995,4.800805882514105,0.8544149398803711,37,32,4.9
CO,30,forecast,LSTM,19,702,179,3.4819438457489014,4.1887319090750506,0.8891709446907043,44,32,5.4
CO,30,forecast,Hybrid,0,702,179,3.416577100753784,4.279938434264987,0.88429194688797,88,32,15.4
CO,30,forecast,Hybrid,1,702,179,3.366123676300049,4.062939898809468,0.8957276344299316,78,32,13.6
CO,30,forecast,Hybrid,2,702,179,4.2009968757629395,5.014155187371248,0.8411877751350403,46,32,8.9
CO,30,forecast,Hybrid,3,702,179,3.666645050048828,4.329359629017123,0.8816043138504028,59,32,10.7
CO,30,forecast,Hybrid,4,702,179,3.2190723419189453,4.0329354481391615,0.8972620368003845,79,32,13.4
CO,30,forecast,Hybrid,5,702,179,3.3594722747802734,4.109791781680616,0.8933089375495911,78,32,13.3
CO,30,forecast,Hybrid,6,702,179,3.4802026748657227,4.164451595256379,0.8904520869255066,64,32,11.4
CO,30,forecast,Hybrid,7,702,179,3.7557461261749268,4.707044419392885,0.8600460886955261,47,32,9.1
CO,30,forecast,Hybrid,8,702,179,4.427366256713867,5.2323646442605485,0.8270643949508667,42,32,8.3
CO,30,forecast,Hybrid,9,702,179,3.8612442016601562,4.668227184595569,0.8623448610305786,64,32,11.4
CO,30,forecast,Hybrid,10,702,179,3.6140525341033936,4.353525482618382,0.8802789449691772,54,32,10.0
CO,30,forecast,Hybrid,11,702,179,3.3108415603637695,4.002553601546387,0.8988041281700134,60,32,10.9
CO,30,forecast,Hybrid,12,702,179,3.847564220428467,4.730076818507747,0.858673095703125,52,32,9.8
CO,30,forecast,Hybrid,13,702,179,4.220881462097168,5.007425135539933,0.84161376953125,48,32,9.3
CO,30,forecast,Hybrid,14,702,179,3.063826084136963,3.7761320677711354,0.9099294543266296,77,32,13.5
CO,30,forecast,Hybrid,15,702,179,4.131122589111328,4.985043854515757,0.8430264592170715,48,32,9.3
CO,30,forecast,Hybrid,16,702,179,3.7491986751556396,4.618532349616394,0.8652600049972534,66,32,11.9
CO,30,forecast,Hybrid,17,702,179,3.845127582550049,4.64577663141839,0.8636656999588013,56,32,10.4
CO,30,forecast,Hybrid,18,702,179,3.712028741836548,4.675890775463792,0.8618925213813782,52,32,9.9
CO,30,forecast,Hybrid,19,702,179,3.57393479347229,4.392634139121512,0.8781182765960693,47,32,9.1
CO,15,nowcast,Faiman,-1,5274,1319,1.908061146736145,2.675533355590515,0.9587284326553345,0,0,0.0
CO,15,nowcast,PG-ResMLP,0,5274,1319,1.8592208623886108,2.4700526410257893,0.9648242592811584,185,79,16.9
CO,15,nowcast,PG-ResMLP,1,5274,1319,1.8330235481262207,2.4667624669759847,0.9649178981781006,29,79,3.1
CO,15,nowcast,PG-ResMLP,2,5274,1319,1.8175526857376099,2.4647571772199934,0.9649749398231506,25,79,2.7
CO,15,nowcast,PG-ResMLP,3,5274,1319,1.7886245250701904,2.4921233070261786,0.9641928672790527,22,79,2.5
CO,15,nowcast,PG-ResMLP,4,5274,1319,1.8031415939331055,2.394258816578049,0.9669498801231384,200,79,18.8
CO,15,nowcast,PG-ResMLP,5,5274,1319,1.8005961179733276,2.3871394659114316,0.9671461582183838,144,79,13.6
CO,15,nowcast,PG-ResMLP,6,5274,1319,1.849777102470398,2.4716431288349736,0.9647789597511292,28,79,3.0
CO,15,nowcast,PG-ResMLP,7,5274,1319,1.7294403314590454,2.309321306608451,0.9692532420158386,151,79,14.0
CO,15,nowcast,PG-ResMLP,8,5274,1319,1.7756026983261108,2.3691635696797007,0.9676390886306763,200,79,18.4
CO,15,nowcast,PG-ResMLP,9,5274,1319,1.757761836051941,2.373796559661113,0.9675124287605286,95,79,9.0
CO,15,nowcast,PG-ResMLP,10,5274,1319,1.8405681848526,2.515046615926958,0.9635310769081116,23,79,2.5
CO,15,nowcast,PG-ResMLP,11,5274,1319,1.7783732414245605,2.39786803601951,0.9668501615524292,200,79,18.2
CO,15,nowcast,PG-ResMLP,12,5274,1319,1.783111333847046,2.4004609460051416,0.9667784571647644,200,79,18.2
CO,15,nowcast,PG-ResMLP,13,5274,1319,1.791151523590088,2.453142008145408,0.9653042554855347,25,79,2.7
CO,15,nowcast,PG-ResMLP,14,5274,1319,1.8430771827697754,2.480579187532891,0.9645238518714905,25,79,2.7
CO,15,nowcast,PG-ResMLP,15,5274,1319,1.6861975193023682,2.2881362655516533,0.9698147773742676,200,79,18.2
CO,15,nowcast,PG-ResMLP,16,5274,1319,1.799315333366394,2.3893787401765274,0.9670844674110413,142,79,13.0
CO,15,nowcast,PG-ResMLP,17,5274,1319,1.8069300651550293,2.46121282097056,0.9650756120681763,26,79,2.9
CO,15,nowcast,PG-ResMLP,18,5274,1319,1.75100839138031,2.3612418967532554,0.9678551554679871,102,79,9.5
CO,15,nowcast,PG-ResMLP,19,5274,1319,1.7814202308654785,2.3906433503687055,0.9670496582984924,200,79,18.3
CO,15,nowcast,LSTM,0,3058,778,1.9735445976257324,2.507755076859121,0.9600780010223389,41,45,9.1
CO,15,nowcast,LSTM,1,3058,778,1.9421896934509277,2.507078069176604,0.9600995779037476,59,45,12.4
CO,15,nowcast,LSTM,2,3058,778,1.787031888961792,2.3139207960139494,0.9660109877586365,88,45,17.7
CO,15,nowcast,LSTM,3,3058,778,1.735334038734436,2.3124722659535712,0.9660534858703613,52,45,11.2
CO,15,nowcast,LSTM,4,3058,778,2.3543739318847656,2.8242991160332456,0.9493635296821594,63,45,13.3
CO,15,nowcast,LSTM,5,3058,778,1.8131684064865112,2.3373951526321646,0.9653178453445435,80,45,16.3
CO,15,nowcast,LSTM,6,3058,778,1.8370729684829712,2.368990372109645,0.9643738865852356,69,45,14.2
CO,15,nowcast,LSTM,7,3058,778,2.142514944076538,2.6952698635101453,0.9538845419883728,57,45,12.1
CO,15,nowcast,LSTM,8,3058,778,2.0653207302093506,2.5963122110347148,0.9572086930274963,40,45,8.9
CO,15,nowcast,LSTM,9,3058,778,2.0229947566986084,2.5624278919029884,0.9583183526992798,48,45,10.5
CO,15,nowcast,LSTM,10,3058,778,2.5541741847991943,3.1114599244290653,0.9385431408882141,32,45,7.5
CO,15,nowcast,LSTM,11,3058,778,2.3037617206573486,2.7867416855724056,0.9507012963294983,58,45,12.3
CO,15,nowcast,LSTM,12,3058,778,2.021390438079834,2.5643533656755486,0.9582556486129761,58,45,12.4
CO,15,nowcast,LSTM,13,3058,778,1.9126020669937134,2.472942606900517,0.961178719997406,61,45,12.9
CO,15,nowcast,LSTM,14,3058,778,2.035753011703491,2.5925173300712903,0.9573336839675903,77,45,16.0
CO,15,nowcast,LSTM,15,3058,778,1.856622576713562,2.3929694155481345,0.9636490345001221,61,45,13.0
CO,15,nowcast,LSTM,16,3058,778,1.9682015180587769,2.46188297577433,0.9615252017974854,74,45,15.4
CO,15,nowcast,LSTM,17,3058,778,2.440814971923828,2.9931091004843684,0.9431295394897461,31,45,7.4
CO,15,nowcast,LSTM,18,3058,778,1.8199938535690308,2.3220146948376517,0.9657727479934692,56,45,12.0
CO,15,nowcast,LSTM,19,3058,778,2.207089424133301,2.741747176854042,0.9522804021835327,52,45,12.0
CO,15,forecast,PG-ResMLP,0,4700,1181,1.9682633876800537,3.005753245720233,0.9466364979743958,64,70,6.6
CO,15,forecast,PG-ResMLP,1,4700,1181,1.9630249738693237,3.0011629393699137,0.9467993378639221,146,70,13.9
CO,15,forecast,PG-ResMLP,2,4700,1181,1.9594473838806152,2.988778904384604,0.947237491607666,84,70,8.0
CO,15,forecast,PG-ResMLP,3,4700,1181,1.9623305797576904,2.97338890240436,0.9477794766426086,88,70,8.3
CO,15,forecast,PG-ResMLP,4,4700,1181,1.9342155456542969,2.962250350541329,0.948170006275177,200,70,18.2
CO,15,forecast,PG-ResMLP,5,4700,1181,1.9879329204559326,3.0111715212959993,0.9464439153671265,104,70,9.7
CO,15,forecast,PG-ResMLP,6,4700,1181,1.945809006690979,2.9558059391128544,0.9483952522277832,119,70,11.1
CO,15,forecast,PG-ResMLP,7,4700,1181,1.932399034500122,2.9533082612511214,0.9484824538230896,151,70,14.0
CO,15,forecast,PG-ResMLP,8,4700,1181,1.9725532531738281,3.0054229359993507,0.9466481804847717,144,70,13.3
CO,15,forecast,PG-ResMLP,9,4700,1181,1.9146491289138794,2.9227298567210505,0.9495437145233154,177,70,16.5
CO,15,forecast,PG-ResMLP,10,4700,1181,1.9486134052276611,2.9587772913819586,0.9482914209365845,95,70,11.3
CO,15,forecast,PG-ResMLP,11,4700,1181,1.934007167816162,2.915852096888272,0.9497809410095215,101,70,12.5
CO,15,forecast,PG-ResMLP,12,4700,1181,1.9759494066238403,3.0065564988697613,0.9466079473495483,48,70,6.3
CO,15,forecast,PG-ResMLP,13,4700,1181,1.9923855066299438,3.020735447492513,0.9461031556129456,53,70,6.7
CO,15,forecast,PG-ResMLP,14,4700,1181,1.9443961381912231,2.9643882431709243,0.9480951428413391,102,70,12.0
CO,15,forecast,PG-ResMLP,15,4700,1181,1.9599311351776123,2.9881835921542574,0.9472585320472717,88,70,10.4
CO,15,forecast,PG-ResMLP,16,4700,1181,1.9630587100982666,2.9839146443756452,0.9474090933799744,200,70,23.4
CO,15,forecast,PG-ResMLP,17,4700,1181,1.9240071773529053,2.948124926504199,0.9486631155014038,200,70,23.0
CO,15,forecast,PG-ResMLP,18,4700,1181,1.9450137615203857,3.000580413620591,0.9468200206756592,124,70,14.6
CO,15,forecast,PG-ResMLP,19,4700,1181,1.9648643732070923,2.9989644488561265,0.9468772411346436,51,70,6.5
CO,15,forecast,LSTM,0,2765,702,3.101766586303711,3.8579015969501462,0.905326247215271,27,41,9.1
CO,15,forecast,LSTM,1,2765,702,2.171592950820923,2.9521083797522105,0.9445639848709106,89,41,24.9
CO,15,forecast,LSTM,2,2765,702,2.4070520401000977,3.1327268060774327,0.9375730156898499,89,41,25.4
CO,15,forecast,LSTM,3,2765,702,2.6936211585998535,3.3986517476916345,0.926524817943573,60,41,13.1
CO,15,forecast,LSTM,4,2765,702,2.474425792694092,3.214296834411762,0.93427973985672,41,41,9.2
CO,15,forecast,LSTM,5,2765,702,3.382065534591675,4.163963560034703,0.8897087574005127,27,41,6.7
CO,15,forecast,LSTM,6,2765,702,2.6147091388702393,3.3316587215276052,0.92939293384552,73,41,15.2
CO,15,forecast,LSTM,7,2765,702,2.3622548580169678,3.093875612733626,0.9391118288040161,103,41,28.0
CO,15,forecast,LSTM,8,2765,702,2.886929750442505,3.642484002009483,0.9156038761138916,29,41,10.8
CO,15,forecast,LSTM,9,2765,702,3.418621301651001,4.217492940610756,0.8868548274040222,29,41,10.0
CO,15,forecast,LSTM,10,2765,702,2.342195510864258,3.1181999990588896,0.9381506443023682,57,41,17.5
CO,15,forecast,LSTM,11,2765,702,2.9498260021209717,3.6728344252292295,0.9141916036605835,31,41,10.5
