site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,60,nowcast,Faiman,-1,773,194,1.445645809173584,1.8536360192063648,0.9779844284057616,0,0,0.0
CO,60,nowcast,PG-ResMLP,0,773,194,1.1813287734985352,1.5731485292768816,0.9841430187225342,200,32,13.6
CO,60,nowcast,PG-ResMLP,1,773,194,1.2074660062789917,1.614216161837897,0.9833043217658995,200,32,13.6
CO,60,nowcast,PG-ResMLP,2,773,194,1.2489044666290283,1.6438425393399687,0.9826858043670654,198,32,13.4
CO,60,nowcast,PG-ResMLP,3,773,194,1.2390968799591064,1.6627382552288894,0.982285499572754,200,32,13.5
CO,60,nowcast,PG-ResMLP,4,773,194,1.2577883005142212,1.6552950427240447,0.9824437499046326,200,32,13.9
CO,60,nowcast,PG-ResMLP,5,773,194,1.218125581741333,1.6334432451414609,0.9829041957855223,200,32,13.5
CO,60,nowcast,PG-ResMLP,6,773,194,1.2676647901535034,1.670056075565197,0.9821292161941528,200,32,13.5
CO,60,nowcast,PG-ResMLP,7,773,194,1.2890719175338743,1.6983532334579057,0.9815185070037842,200,32,13.5
CO,60,nowcast,PG-ResMLP,8,773,194,1.264842867851257,1.671301770203748,0.9821025729179382,200,32,13.3
CO,60,nowcast,PG-ResMLP,9,773,194,1.245033621788025,1.6634152725285485,0.9822710752487184,127,32,8.7
CO,60,nowcast,PG-ResMLP,10,773,194,1.2380547523498535,1.6257468488024176,0.9830649495124816,200,32,13.2
CO,60,nowcast,PG-ResMLP,11,773,194,1.2736374139785769,1.6661027749132062,0.9822137355804444,200,32,13.4
CO,60,nowcast,PG-ResMLP,12,773,194,1.2410064935684204,1.6465331734409283,0.982629120349884,200,32,13.1
CO,60,nowcast,PG-ResMLP,13,773,194,1.2232332229614258,1.6156289519329916,0.9832750558853148,200,32,13.3
CO,60,nowcast,PG-ResMLP,14,773,194,1.1925479173660278,1.6001980062988432,0.9835930466651917,200,32,13.1
CO,60,nowcast,PG-ResMLP,15,773,194,1.2090188264846802,1.601514862096392,0.9835659861564636,200,32,12.8
CO,60,nowcast,PG-ResMLP,16,773,194,1.2347899675369265,1.6488390248220113,0.9825804233551024,200,32,12.8
CO,60,nowcast,PG-ResMLP,17,773,194,1.2132529020309448,1.6425302251302132,0.9827134609222412,200,32,12.8
CO,60,nowcast,PG-ResMLP,18,773,194,1.173482894897461,1.5955359232416977,0.983688473701477,200,32,12.8
CO,60,nowcast,PG-ResMLP,19,773,194,1.27361798286438,1.678716263421416,0.981943428516388,200,32,12.8
CO,60,nowcast,LSTM,0,126,24,12.39569091796875,14.01642843641993,-0.3524528741836548,54,32,4.7
CO,60,nowcast,LSTM,1,126,24,12.241569519042969,13.744134935207365,-0.3004158735275268,47,32,4.2
CO,60,nowcast,LSTM,2,126,24,3.237076997756958,4.005409873915108,0.8895561695098877,192,32,12.0
CO,60,nowcast,LSTM,3,126,24,3.593333959579468,4.527656550952577,0.8588781356811523,104,32,7.3
CO,60,nowcast,LSTM,4,126,24,12.444198608398438,14.088721213427691,-0.3664400577545166,49,32,4.3
CO,60,nowcast,LSTM,5,126,24,3.4485461711883545,4.388715335510219,0.8674064874649048,130,32,8.6
CO,60,nowcast,LSTM,6,126,24,3.4152767658233643,4.36807684125837,0.8686506748199463,122,32,8.2
CO,60,nowcast,LSTM,7,126,24,4.33965539932251,5.333893190244946,0.8041443824768066,200,32,12.4
