site,resolution,mode,n,gap_mean,gap_std,ci95,t,p_raw,p_wilcoxon,mlp_mean,lstm_mean,p_holm,significant
CA,15,nowcast,20,0.15281185507774356,0.21749142634071636,0.10178912080027204,3.1421716384018414,0.005365599079125722,0.0001049041748046875,1.4587849080562592,1.3059730529785156,0.016096797237377166,YES
CA,30,nowcast,20,0.05160039663314823,0.2423899993727679,0.11344201167857065,0.9520359324744789,0.3530339468609852,0.956329345703125,1.3827897250652312,1.331189328432083,0.3530339468609852,no
CA,60,nowcast,20,-0.14512689113616944,0.3269751556729257,0.15302908339632512,-1.984943432633754,0.061779910486526445,0.069580078125,1.431323117017746,1.5764500081539154,0.12355982097305289,no
CO,15,nowcast,20,-0.24590277075767517,0.22800457313489653,0.10670942495675576,-4.8231954623506,0.00011814095110438182,6.29425048828125e-05,1.7937947154045104,2.0396974861621855,0.0004725638044175273,YES
CO,30,nowcast,20,-1.082090187072754,0.3545369017567859,0.16592837762965953,-13.649508438137245,2.8584705156365717e-11,1.9073486328125e-06,1.6131928324699403,2.695283019542694,2.0009293609456002e-10,YES
FL,15,nowcast,20,-0.7325701057910919,0.4018488808298363,0.18807106543208485,-8.15269935031493,1.264168168464063e-07,1.9073486328125e-06,1.6921095192432403,2.424679625034332,7.585009010784378e-07,YES
FL,30,nowcast,20,-1.2832580506801605,0.9376896262503447,0.4388522538356714,-6.120260166403125,6.9625468927397834e-06,1.9073486328125e-06,1.6994073212146759,2.9826653718948366,3.4812734463698916e-05,YES
OR,15,nowcast,20,-0.8465275585651397,0.19905874684433394,0.093162361247044,-19.018437479251787,7.934138012812355e-14,1.9073486328125e-06,1.2624139308929443,2.108941489458084,7.140724211531119e-13,YES
OR,30,nowcast,20,-0.6005968630313874,0.14126721397787875,0.0661150912964527,-19.013263941364503,7.973297336335851e-14,1.9073486328125e-06,1.2007394969463348,1.8013363599777221,7.140724211531119e-13,YES
CA,15,forecast,20,0.3846338272094726,0.10150615611630512,0.047506343402740236,16.946112767797633,6.322789425995946e-13,1.9073486328125e-06,1.958310079574585,1.5736762523651122,3.7936736555975676e-12,YES
CA,30,forecast,20,0.6461589872837067,0.12486240469080279,0.05843740421552986,23.1431618414957,2.2079868786815775e-15,1.9073486328125e-06,2.605477750301361,1.9593187630176545,1.766389502945262e-14,YES
CA,60,forecast,20,0.7670391082763672,0.11515597630168274,0.05389465589453838,29.788320894670154,2.0648334144231146e-17,1.9073486328125e-06,3.1087682962417604,2.341729187965393,1.8583500729808032e-16,YES
CO,15,forecast,20,-0.651165097951889,0.4122758810988257,0.19295105177371627,-7.063471283912952,1.0112547409346112e-06,1.9073486328125e-06,1.9546425998210908,2.60580769777298,3.0337642228038335e-06,YES
CO,30,forecast,20,-1.4489139080047608,0.3252805021997907,0.1522359611570084,-19.920468456812454,3.4239704265771787e-14,1.9073486328125e-06,2.4376107692718505,3.8865246772766113,2.396779298604025e-13,YES
FL,15,forecast,20,-0.47679190039634706,0.666077241712087,0.31173374490969974,-3.2012476440934496,0.004701021979224161,0.0007076263427734375,2.122065615653992,2.5988575160503387,0.004701021979224161,YES
FL,30,forecast,20,-1.4665366530418396,1.0683278219492278,0.49999281145145347,-6.139081245143168,6.69192801984964e-06,1.9073486328125e-06,2.6082651376724244,4.074801790714264,1.338385603969928e-05,YES
OR,15,forecast,20,-0.7625919103622436,0.20153655839184703,0.09432201274767375,-16.922064803210272,6.485344899630582e-13,1.9073486328125e-06,1.4398955404758453,2.202487450838089,3.7936736555975676e-12,YES
OR,30,forecast,20,-0.2028207421302796,0.113899135768957,0.053306436418650245,-7.963554132144118,1.793441713871891e-07,3.814697265625e-06,1.9639106690883636,2.166731411218643,7.173766855487564e-07,YES
