family,resolution,mode,n,mean_1,mean_2,diff,t,p_raw,p_wilcoxon,cohen_d,p_holm,significant
C1_LSTM_wind_cost,5,nowcast,20,2.5057562589645386,1.3191939532756805,1.1865623056888581,99.92765484278982,2.5322875519922703e-27,1.9073486328125e-06,22.34450290606141,1.0129150207969081e-26,YES
C1_LSTM_wind_cost,5,forecast,20,2.5291467905044556,1.3504992246627807,1.1786475658416748,71.74892684424483,1.3490935031318629e-24,1.9073486328125e-06,16.04354777363909,1.7404546671032164e-24,YES
C1_LSTM_wind_cost,15,nowcast,20,2.485939157009125,1.3059730529785156,1.179966104030609,90.61654462095416,1.6180306629424274e-26,1.9073486328125e-06,20.26247536585964,4.8540919888272825e-26,YES
C1_LSTM_wind_cost,15,forecast,20,2.6665884613990785,1.5736762523651122,1.092912209033966,73.42963528750101,8.702273335516082e-25,1.9073486328125e-06,16.419365606586958,1.7404546671032164e-24,YES
C2_MLP_wind_cost,5,nowcast,20,2.565231680870056,1.4464265823364257,1.1188050985336304,214.96960116479073,1.225269221402287e-33,1.9073486328125e-06,48.06866413004901,4.901076885609148e-33,YES
C2_MLP_wind_cost,5,forecast,20,2.5929410576820375,1.5048460245132447,1.0880950331687926,67.4860346640683,4.301182628332489e-24,1.9073486328125e-06,15.09033610407639,1.2903547884997467e-23,YES
C2_MLP_wind_cost,15,nowcast,20,2.698789918422699,1.4587849080562592,1.2400050103664397,28.39874421590045,5.021407882087017e-17,1.9073486328125e-06,6.350152254238237,5.021407882087017e-17,YES
C2_MLP_wind_cost,15,forecast,20,2.9226831912994387,1.958310079574585,0.9643731117248537,29.90211771802658,1.923305822105994e-17,1.9073486328125e-06,6.6863167888708315,3.846611644211988e-17,YES
C3_arm1_noWS_vs_fullMLP,5,nowcast,20,2.5057562589645386,1.4464265823364257,1.0593296766281128,121.82070932139813,5.905842085495391e-29,1.9073486328125e-06,27.23993871098885,2.3623368341981564e-28,YES
C3_arm1_noWS_vs_fullMLP,5,forecast,20,2.5291467905044556,1.5048460245132447,1.024300765991211,46.75241973357777,4.412900594717059e-21,1.9073486328125e-06,10.45415886368825,1.3238701784151178e-20,YES
C3_arm1_noWS_vs_fullMLP,15,nowcast,20,2.485939157009125,1.4587849080562592,1.0271542489528656,22.969268882967707,2.53621268723479e-15,1.9073486328125e-06,5.1360846615786455,2.53621268723479e-15,YES
C3_arm1_noWS_vs_fullMLP,15,forecast,20,2.6665884613990785,1.958310079574585,0.7082783818244935,34.0029399928891,1.7464218978609977e-18,1.9073486328125e-06,7.603288525894623,3.4928437957219954e-18,YES
C4_arm2_duramat_config,5,nowcast,20,2.5057562589645386,2.565231680870056,-0.05947542190551767,-8.070554777400346,1.4706702990605116e-07,3.814697265625e-06,-1.8046309098402857,4.412010897181535e-07,YES
C4_arm2_duramat_config,5,forecast,20,2.5291467905044556,2.5929410576820375,-0.06379426717758174,-4.644192219056168,0.00017686924482725598,0.0007076263427734375,-1.0384729502385186,0.00035373848965451196,YES
C4_arm2_duramat_config,15,nowcast,20,2.485939157009125,2.698789918422699,-0.21285076141357423,-2.94488882176434,0.008315094315064756,1.9073486328125e-06,-0.6584971591644326,0.008315094315064756,YES
C4_arm2_duramat_config,15,forecast,20,2.6665884613990785,2.9226831912994387,-0.2560947299003602,-10.706192334029796,1.7341569373797964e-09,1.9073486328125e-06,-2.3939773839077754,6.9366277495191855e-09,YES
