resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
5,nowcast,PG-ResMLP-ws2,0,45296,39431,2.591120719909668,3.326532833742924,0.9340900778770447,154,256,31.5
5,nowcast,LSTM-noWS,0,43196,37603,2.510519027709961,3.221610714629974,0.9317805171012878,63,256,50.4
5,nowcast,PG-ResMLP-ws2,1,45296,39431,2.5402169227600098,3.305802826666525,0.9349089860916138,200,256,33.1
5,nowcast,LSTM-noWS,1,43196,37603,2.4887185096740723,3.1993244232871874,0.9327211380004883,51,256,41.3
5,nowcast,PG-ResMLP-ws2,2,45296,39431,2.574643850326538,3.330191100768717,0.9339450001716614,200,256,44.5
5,nowcast,LSTM-noWS,2,43196,37603,2.511977195739746,3.2256483209983196,0.9316094517707825,78,256,74.0
5,nowcast,PG-ResMLP-ws2,3,45296,39431,2.5727837085723877,3.3226904398443744,0.9342422485351562,148,256,33.2
5,nowcast,LSTM-noWS,3,43196,37603,2.4946913719177246,3.200416722581788,0.9326751828193665,53,256,50.6
5,nowcast,PG-ResMLP-ws2,4,45296,39431,2.548551559448242,3.3066549013554036,0.9348754286766052,200,256,43.0
5,nowcast,LSTM-noWS,4,43196,37603,2.486527681350708,3.2282794512924693,0.9314978122711182,45,256,36.3
5,nowcast,PG-ResMLP-ws2,5,45296,39431,2.5722713470458984,3.3229616614537116,0.9342315196990967,200,256,37.9
5,nowcast,LSTM-noWS,5,43196,37603,2.479098320007324,3.211208062943095,0.9322203993797302,45,256,43.4
5,nowcast,PG-ResMLP-ws2,6,45296,39431,2.5708513259887695,3.313644643264932,0.9345998167991638,200,256,43.7
5,nowcast,LSTM-noWS,6,43196,37603,2.571101427078247,3.3156198168973834,0.9277410507202148,59,256,57.2
5,nowcast,PG-ResMLP-ws2,7,45296,39431,2.5526442527770996,3.2999012152018024,0.9351411461830139,200,256,39.5
5,nowcast,LSTM-noWS,7,43196,37603,2.5146842002868652,3.2514876848785685,0.9305093288421631,47,256,44.6
5,nowcast,PG-ResMLP-ws2,8,45296,39431,2.5575673580169678,3.304108553195374,0.9349756836891174,200,256,43.8
5,nowcast,LSTM-noWS,8,43196,37603,2.4604568481445312,3.186136589920292,0.9332746267318726,59,256,55.1
5,nowcast,PG-ResMLP-ws2,9,45296,39431,2.5735394954681396,3.3182672641626647,0.934417188167572,147,256,31.1
5,nowcast,LSTM-noWS,9,43196,37603,2.4946634769439697,3.2120910206079794,0.9321831464767456,54,256,44.6
5,nowcast,PG-ResMLP-ws2,10,45296,39431,2.574645519256592,3.3337526693429975,0.9338036775588989,200,256,44.1
5,nowcast,LSTM-noWS,10,43196,37603,2.561178207397461,3.2754999550831188,0.92947918176651,85,256,83.5
5,nowcast,PG-ResMLP-ws2,11,45296,39431,2.558410406112671,3.3184333779546247,0.9344106316566467,191,256,40.4
5,nowcast,LSTM-noWS,11,43196,37603,2.518183469772339,3.2370759310674337,0.9311239719390869,63,256,61.7
5,nowcast,PG-ResMLP-ws2,12,45296,39431,2.562168836593628,3.3125208728060684,0.9346441626548767,188,256,39.6
5,nowcast,LSTM-noWS,12,43196,37603,2.543079137802124,3.2797368511614176,0.929296612739563,64,256,62.5
5,nowcast,PG-ResMLP-ws2,13,45296,39431,2.5539162158966064,3.2918599389874044,0.9354568719863892,161,256,35.7
5,nowcast,LSTM-noWS,13,43196,37603,2.4444546699523926,3.1480168896989085,0.9348617196083069,67,256,64.2
5,nowcast,PG-ResMLP-ws2,14,45296,39431,2.574409246444702,3.3184463103404003,0.9344100952148438,179,256,38.2
5,nowcast,LSTM-noWS,14,43196,37603,2.5178394317626953,3.261616267804317,0.9300757646560669,53,256,53.7
5,nowcast,PG-ResMLP-ws2,15,45296,39431,2.54482364654541,3.3023199885108885,0.9350460767745972,200,256,42.8
5,nowcast,LSTM-noWS,15,43196,37603,2.506924629211426,3.2232406548710983,0.9317114949226379,63,256,57.9
5,nowcast,PG-ResMLP-ws2,16,45296,39431,2.585158348083496,3.3420183207604994,0.9334750175476074,200,256,33.7
5,nowcast,LSTM-noWS,16,43196,37603,2.503937005996704,3.220243977609397,0.9318383932113647,61,256,55.6
5,nowcast,PG-ResMLP-ws2,17,45296,39431,2.5822153091430664,3.3320992251547454,0.9338693022727966,145,256,31.0
5,nowcast,LSTM-noWS,17,43196,37603,2.5171256065368652,3.237438428138637,0.9311085939407349,64,256,61.9
5,nowcast,PG-ResMLP-ws2,18,45296,39431,2.549407720565796,3.2954996865269046,0.9353140592575073,200,256,33.2
5,nowcast,LSTM-noWS,18,43196,37603,2.538001775741577,3.2619663898319913,0.9300607442855835,73,256,66.4
5,nowcast,PG-ResMLP-ws2,19,45296,39431,2.5652878284454346,3.3142318516850375,0.9345766305923462,198,256,32.3
5,nowcast,LSTM-noWS,19,43196,37603,2.451963186264038,3.1643730858848427,0.9341830611228943,59,256,51.9
5,forecast,PG-ResMLP-ws2,0,44844,39038,2.58923077583313,3.322050039393356,0.9326255321502686,104,256,17.4
5,forecast,LSTM-noWS,0,42807,37265,2.475963592529297,3.1882027244104907,0.9323309659957886,48,256,48.9
5,forecast,PG-ResMLP-ws2,1,44844,39038,2.583371877670288,3.338720085784111,0.931947648525238,158,256,26.3
5,forecast,LSTM-noWS,1,42807,37265,2.4819891452789307,3.1996323314686625,0.9318448901176453,60,256,53.7
5,forecast,PG-ResMLP-ws2,2,44844,39038,2.5797808170318604,3.310999260434846,0.9330730438232422,111,256,18.0
5,forecast,LSTM-noWS,2,42807,37265,2.5531423091888428,3.281738099624772,0.9283021688461304,55,256,47.9
5,forecast,PG-ResMLP-ws2,3,44844,39038,2.5727596282958984,3.3271670686666495,0.9324178099632263,200,256,32.0
5,forecast,LSTM-noWS,3,42807,37265,2.5132930278778076,3.229666853692474,0.9305593371391296,49,256,43.8
5,forecast,PG-ResMLP-ws2,4,44844,39038,2.587902784347534,3.3422025147859173,0.9318056106567383,200,256,32.4
5,forecast,LSTM-noWS,4,42807,37265,2.4807164669036865,3.1963831966068743,0.931983232498169,46,256,40.9
5,forecast,PG-ResMLP-ws2,5,44844,39038,2.612292766571045,3.344765767334101,0.9317010045051575,165,256,26.4
5,forecast,LSTM-noWS,5,42807,37265,2.5230109691619873,3.251825553522512,0.9296032190322876,55,256,48.6
5,forecast,PG-ResMLP-ws2,6,44844,39038,2.5926403999328613,3.3253747026225176,0.9324905872344971,106,256,17.4
5,forecast,LSTM-noWS,6,42807,37265,2.4529459476470947,3.1665104944635587,0.9332486391067505,53,256,50.1
5,forecast,PG-ResMLP-ws2,7,44844,39038,2.601640224456787,3.3357548183476977,0.9320684671401978,88,256,18.1
5,forecast,LSTM-noWS,7,42807,37265,2.495938301086426,3.2123245250706094,0.931303083896637,39,256,35.7
5,forecast,PG-ResMLP-ws2,8,44844,39038,2.6046957969665527,3.342451610000922,0.9317954778671265,126,256,20.6
5,forecast,LSTM-noWS,8,42807,37265,2.4937009811401367,3.21538167464761,0.9311723113059998,64,256,58.3
5,forecast,PG-ResMLP-ws2,9,44844,39038,2.593919038772583,3.3609843812560873,0.9310370087623596,162,256,27.2
5,forecast,LSTM-noWS,9,42807,37265,2.660214424133301,3.4092350750119733,0.9226229190826416,49,256,51.9
5,forecast,PG-ResMLP-ws2,10,44844,39038,2.5996510982513428,3.340003936673888,0.9318953156471252,169,256,28.2
5,forecast,LSTM-noWS,10,42807,37265,2.6810302734375,3.4363863441502334,0.9213855862617493,34,256,31.0
5,forecast,PG-ResMLP-ws2,11,44844,39038,2.6029489040374756,3.3460498636820377,0.9316485524177551,200,256,31.9
5,forecast,LSTM-noWS,11,42807,37265,2.5382144451141357,3.2599433498492076,0.9292513132095337,77,256,69.2
5,forecast,PG-ResMLP-ws2,12,44844,39038,2.5984485149383545,3.3273573872236826,0.9324100613594055,200,256,31.8
5,forecast,LSTM-noWS,12,42807,37265,2.517064332962036,3.2463693146046464,0.9298392534255981,52,256,47.6
5,forecast,PG-ResMLP-ws2,13,44844,39038,2.598606586456299,3.344247798764107,0.9317221641540527,200,256,32.1
5,forecast,LSTM-noWS,13,42807,37265,2.5062172412872314,3.2393782245105474,0.9301410913467407,62,256,57.2
5,forecast,PG-ResMLP-ws2,14,44844,39038,2.593554973602295,3.3181020043015113,0.9327855706214905,78,256,12.9
5,forecast,LSTM-noWS,14,42807,37265,2.565678119659424,3.3063986386093043,0.9272205829620361,72,256,66.3
5,forecast,PG-ResMLP-ws2,15,44844,39038,2.573173999786377,3.304685191340801,0.9333280324935913,88,256,18.9
5,forecast,LSTM-noWS,15,42807,37265,2.5213873386383057,3.2489029426578053,0.929729700088501,64,256,66.6
5,forecast,PG-ResMLP-ws2,16,44844,39038,2.5979249477386475,3.3521931372835425,0.9313973188400269,200,256,38.8
5,forecast,LSTM-noWS,16,42807,37265,2.4951372146606445,3.2152971432356474,0.9311758875846863,59,256,54.4
5,forecast,PG-ResMLP-ws2,17,44844,39038,2.5833377838134766,3.3246162078324657,0.932521402835846,200,256,32.7
5,forecast,LSTM-noWS,17,42807,37265,2.5233376026153564,3.2576643729439114,0.9293501973152161,81,256,73.2
5,forecast,PG-ResMLP-ws2,18,44844,39038,2.603184223175049,3.3513375586938436,0.9314323663711548,125,256,20.3
5,forecast,LSTM-noWS,18,42807,37265,2.633934736251831,3.381680834499089,0.9238686561584473,62,256,59.4
5,forecast,PG-ResMLP-ws2,19,44844,39038,2.5897560119628906,3.327600142235242,0.9324002265930176,200,256,43.4
5,forecast,LSTM-noWS,19,42807,37265,2.4700193405151367,3.1865747642299787,0.9324000477790833,45,256,49.5
15,nowcast,PG-ResMLP-ws2,0,14806,12885,3.4246246814727783,4.328103406280745,0.8839718699455261,21,222,8.9
15,nowcast,LSTM-noWS,0,12908,11220,2.4367170333862305,3.1316469835519207,0.9301366209983826,104,193,36.8
15,nowcast,PG-ResMLP-ws2,1,14806,12885,2.533522129058838,3.2567709302920003,0.9343034625053406,200,222,24.4
15,nowcast,LSTM-noWS,1,12908,11220,2.478400230407715,3.1925111163131765,0.9273946285247803,109,193,30.7
15,nowcast,PG-ResMLP-ws2,2,14806,12885,2.5240516662597656,3.23549673190576,0.9351589679718018,200,222,18.8
15,nowcast,LSTM-noWS,2,12908,11220,2.4779839515686035,3.1779693535394786,0.9280545115470886,105,193,30.4
15,nowcast,PG-ResMLP-ws2,3,14806,12885,2.5411970615386963,3.254828753910896,0.9343817830085754,200,222,18.7
15,nowcast,LSTM-noWS,3,12908,11220,2.463400363922119,3.1701150154885203,0.9284096956253052,68,193,19.9
