mode,model,seed,MAE,RMSE,R2,train_s
nowcast,Faiman,-1,2.4954417045068977,3.098284686178816,0.9428245069772575,0.0
nowcast,LinearReg,-1,1.6524670110273452,2.156527957497259,0.9723001470939615,0.0
nowcast,Ridge,-1,1.6524866279184451,2.156554450815113,0.9722994664948412,0.0
nowcast,RandomForest,0,1.546824308902571,2.0362808249159796,0.9753030899134354,1.5
nowcast,RandomForest,1,1.5446653320030321,2.0363254617007414,0.9753020071524243,1.4
nowcast,RandomForest,2,1.5436521665743508,2.033285196223293,0.9753757010705276,1.5
nowcast,RandomForest,3,1.5434906097849812,2.035151587116267,0.9753304741043629,1.4
nowcast,RandomForest,4,1.5459333246335545,2.0361914482554373,0.9753052578648104,1.5
nowcast,RandomForest,5,1.545167275269869,2.0353387597778125,0.9753259361886776,1.5
nowcast,RandomForest,6,1.5456817037072992,2.0352890703996964,0.975327140925643,1.4
nowcast,RandomForest,7,1.5461431495636602,2.035751613296385,0.9753159252682161,1.4
nowcast,RandomForest,8,1.5429435189878706,2.0336307192729834,0.9753673313781722,1.5
nowcast,RandomForest,9,1.546280975764787,2.0368543966091166,0.9752891748940583,1.5
nowcast,RandomForest,10,1.5450069357308462,2.034968745095832,0.9753349066226724,1.5
nowcast,RandomForest,11,1.5474770851333306,2.0387477278277126,0.9752432142979156,1.5
nowcast,RandomForest,12,1.5448233879880715,2.034447308416749,0.9753475452802782,1.5
nowcast,RandomForest,13,1.5461936246804504,2.0367878778516015,0.9752907888597357,1.6
nowcast,RandomForest,14,1.5460611044515604,2.0362647679137758,0.9753034794046798,1.5
nowcast,RandomForest,15,1.5456320277675837,2.0360833682655697,0.9753078793635376,1.5
nowcast,RandomForest,16,1.5461861789123017,2.037387286959052,0.9752762433042359,1.5
nowcast,RandomForest,17,1.5442710321305968,2.035426618090281,0.9753238059600988,1.5
nowcast,RandomForest,18,1.548487762706586,2.0387235567774233,0.9752438013190137,1.5
nowcast,RandomForest,19,1.5453910876505508,2.0355317219480606,0.9753212574721031,1.5
nowcast,XGBoost,0,1.5202407696297762,1.9902223518916766,0.976407689456154,0.4
nowcast,XGBoost,1,1.5202407696297762,1.9902223518916766,0.976407689456154,0.3
nowcast,XGBoost,2,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,3,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,4,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,5,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,6,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,7,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,8,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,9,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,10,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,11,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,12,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,13,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,14,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,15,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,16,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,17,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,18,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
nowcast,XGBoost,19,1.5202407696297762,1.9902223518916766,0.976407689456154,0.2
forecast,Faiman,-1,2.3378161444868955,2.83680671653549,0.9508704851632022,0.0
forecast,LinearReg,-1,1.587986741026523,2.032620132159599,0.9747770761980532,0.0
