seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
0,0.1,global,all,9897,43096,3.768434524536133,0.9560748097271209,7.536869049072266,1.369935393333435
0,0.1,mondrian,"[0,200)",3516,9542,3.432384490966797,0.974219241249214,6.864768981933594,1.369935393333435
0,0.1,mondrian,"[200,500)",3607,12362,4.72242546081543,0.9750849377123443,9.44485092163086,1.369935393333435
0,0.1,mondrian,"[500,inf)",2774,21192,2.7406082153320312,0.8788221970554927,5.4812164306640625,1.369935393333435
0,0.1,mondrian,all,9897,43096,,0.9275570818637461,6.924512978407366,1.369935393333435
0,0.05,global,all,9897,43096,4.75732421875,0.9805086318915909,9.5146484375,1.369935393333435
0,0.05,mondrian,"[0,200)",3516,9542,4.237924575805664,0.9880528191154894,8.475849151611328,1.369935393333435
0,0.05,mondrian,"[200,500)",3607,12362,5.886618614196777,0.9881087202718006,11.773237228393555,1.369935393333435
0,0.05,mondrian,"[500,inf)",2774,21192,3.4978179931640625,0.9403548508871272,6.995635986328125,1.369935393333435
0,0.05,mondrian,all,9897,43096,,0.9646138852793763,8.693819125773668,1.369935393333435
1,0.1,global,all,9897,43096,3.831085205078125,0.9615973640245035,7.66217041015625,1.3412009477615356
1,0.1,mondrian,"[0,200)",3516,9542,3.422809600830078,0.9798784321945085,6.845619201660156,1.3412009477615356
1,0.1,mondrian,"[200,500)",3607,12362,4.805290222167969,0.9768645850186054,9.610580444335938,1.3412009477615356
1,0.1,mondrian,"[500,inf)",2774,21192,2.837902069091797,0.8926481691204228,5.675804138183594,1.3412009477615356
1,0.1,mondrian,all,9897,43096,,0.9361193614256543,7.0634985885351025,1.3412009477615356
1,0.05,global,all,9897,43096,4.816122055053711,0.9814367922777056,9.632244110107422,1.3412009477615356
1,0.05,mondrian,"[0,200)",3516,9542,4.265424728393555,0.9917208132466988,8.53084945678711,1.3412009477615356
1,0.05,mondrian,"[200,500)",3607,12362,6.008481979370117,0.9899692606374373,12.016963958740234,1.3412009477615356
1,0.05,mondrian,"[500,inf)",2774,21192,3.6584510803222656,0.9488958097395244,7.316902160644531,1.3412009477615356
1,0.05,mondrian,all,9897,43096,,0.9701596435864117,8.933888633817253,1.3412009477615356
2,0.1,global,all,9897,43096,3.642597198486328,0.9560748097271209,7.285194396972656,1.3128727674484253
2,0.1,mondrian,"[0,200)",3516,9542,3.1925153732299805,0.9838608258226786,6.385030746459961,1.3128727674484253
2,0.1,mondrian,"[200,500)",3607,12362,4.538824081420898,0.9755702960685974,9.077648162841797,1.3128727674484253
2,0.1,mondrian,"[500,inf)",2774,21192,3.05230712890625,0.9078897697244243,6.1046142578125,1.3128727674484253
2,0.1,mondrian,all,9897,43096,,0.9441247447558938,7.019510750959109,1.3128727674484253
2,0.05,global,all,9897,43096,4.6184844970703125,0.9799981436792278,9.236968994140625,1.3128727674484253
2,0.05,mondrian,"[0,200)",3516,9542,3.9658451080322266,0.9927688115699015,7.931690216064453,1.3128727674484253
2,0.05,mondrian,"[200,500)",3607,12362,5.66961669921875,0.9878660410936742,11.3392333984375,1.3128727674484253
2,0.05,mondrian,"[500,inf)",2774,21192,3.872283935546875,0.9539920724801813,7.74456787109375,1.3128727674484253
2,0.05,mondrian,all,9897,43096,,0.9722944124744756,8.817121627004598,1.3128727674484253
3,0.1,global,all,9897,43096,3.3976993560791016,0.945331353257843,6.795398712158203,1.2809003591537476
3,0.1,mondrian,"[0,200)",3516,9542,2.985625743865967,0.9850136239782016,5.971251487731934,1.2809003591537476
