seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
0,0.1,global,all,9897,43096,3.8423213958740234,0.9594161871171338,7.684642791748047,1.3688889741897583
0,0.1,mondrian,"[0,200)",3516,9542,3.4503116607666016,0.9766296373925801,6.900623321533203,1.3688889741897583
0,0.1,mondrian,"[200,500)",3607,12362,4.901268005371094,0.9764601197217279,9.802536010742188,1.3688889741897583
0,0.1,mondrian,"[500,inf)",2774,21192,2.7787208557128906,0.8828803322008305,5.557441711425781,1.3688889741897583
0,0.1,mondrian,all,9897,43096,,0.9304807870800075,7.072535795605158,1.3688889741897583
0,0.05,global,all,9897,43096,4.903236389160156,0.9821097085576388,9.806472778320312,1.3688889741897583
0,0.05,mondrian,"[0,200)",3516,9542,4.303571701049805,0.9897296164326137,8.60714340209961,1.3688889741897583
0,0.05,mondrian,"[200,500)",3607,12362,6.009803771972656,0.9891603300436822,12.019607543945312,1.3688889741897583
0,0.05,mondrian,"[500,inf)",2774,21192,3.5391616821289062,0.9430917327293318,7.0783233642578125,1.3688889741897583
0,0.05,mondrian,all,9897,43096,,0.9666326341191758,8.83422079859936,1.3688889741897583
1,0.1,global,all,9897,43096,3.8112640380859375,0.9597178392426211,7.622528076171875,1.3450207710266113
1,0.1,mondrian,"[0,200)",3516,9542,3.493337631225586,0.9791448333682666,6.986675262451172,1.3450207710266113
1,0.1,mondrian,"[200,500)",3607,12362,4.7130126953125,0.9746804724154667,9.426025390625,1.3450207710266113
1,0.1,mondrian,"[500,inf)",2774,21192,2.787324905395508,0.8911853529633824,5.574649810791016,1.3450207710266113
1,0.1,mondrian,all,9897,43096,,0.934611100798218,6.992049378677802,1.3450207710266113
1,0.05,global,all,9897,43096,4.787811279296875,0.9809727120846482,9.57562255859375,1.3450207710266113
1,0.05,mondrian,"[0,200)",3516,9542,4.272024154663086,0.9902536155942151,8.544048309326172,1.3450207710266113
1,0.05,mondrian,"[200,500)",3607,12362,5.886074066162109,0.9881896133311762,11.772148132324219,1.3450207710266113
1,0.05,mondrian,"[500,inf)",2774,21192,3.573406219482422,0.9452623631559078,7.146812438964844,1.3450207710266113
1,0.05,mondrian,all,9897,43096,,0.9675375904956377,8.782946291672667,1.3450207710266113
2,0.1,global,all,9897,43096,3.5937023162841797,0.9531279005012067,7.187404632568359,1.3290809392929077
2,0.1,mondrian,"[0,200)",3516,9542,3.1975784301757812,0.9821840285055544,6.3951568603515625,1.3290809392929077
2,0.1,mondrian,"[200,500)",3607,12362,4.49925422668457,0.9733861834654587,8.99850845336914,1.3290809392929077
2,0.1,mondrian,"[500,inf)",2774,21192,2.9105396270751953,0.8943941109852774,5.821079254150391,1.3290809392929077
2,0.1,mondrian,all,9897,43096,,0.9364906255801002,6.859626411174564,1.3290809392929077
2,0.05,global,all,9897,43096,4.554958343505859,0.9783274549842212,9.109916687011719,1.3290809392929077
2,0.05,mondrian,"[0,200)",3516,9542,3.9877700805664062,0.9919304129113393,7.9755401611328125,1.3290809392929077
2,0.05,mondrian,"[200,500)",3607,12362,5.70231819152832,0.9879469341530497,11.40463638305664,1.3290809392929077
