N_days,strategy,seed,MAE,RMSE,R2,n_samples
1,output_only,0,3.4628820419311523,4.266920179544435,0.6897432804107666,60
1,output_only,1,3.4698216915130615,4.1384389036746985,0.7081462144851685,60
1,output_only,2,3.731649875640869,4.91641581698229,0.5881022810935974,60
1,output_only,3,3.626948595046997,4.608362118916805,0.638102650642395,60
1,output_only,4,3.8859007358551025,5.06800128943375,0.5623109936714172,60
1,last_layer,0,2.3331735134124756,3.0987225269178467,0.8363720178604126,60
1,last_layer,1,3.3656187057495117,4.048804806146669,0.7206517457962036,60
1,last_layer,2,2.827810764312744,3.7179551757769906,0.7644405364990234,60
1,last_layer,3,3.561577081680298,4.506376834518238,0.6539433598518372,60
1,last_layer,4,2.9262239933013916,3.9153911596862976,0.7387583255767822,60
1,full,0,2.370515823364258,3.124474137883952,0.8336411118507385,60
1,full,1,3.1194419860839844,3.8696154438350208,0.7448310852050781,60
1,full,2,2.9050211906433105,3.838586704329826,0.7489068508148193,60
1,full,3,3.1842527389526367,4.063015244894981,0.7186874151229858,60
1,full,4,3.2405967712402344,4.314847445482076,0.6827343106269836,60
3,output_only,0,3.2364628314971924,3.9522718632274496,0.7338136434555054,180
3,output_only,1,3.487489700317383,4.156874760300958,0.7055401802062988,180
3,output_only,2,4.040491580963135,5.322176389733574,0.5173072814941406,180
3,output_only,3,3.3337337970733643,4.157638203244379,0.7054319381713867,180
3,output_only,4,3.7244749069213867,4.851970366749918,0.598829984664917,180
3,last_layer,0,2.2282636165618896,2.9022436933354463,0.8564642667770386,180
3,last_layer,1,3.328575372695923,3.996550264506082,0.7278158664703369,180
3,last_layer,2,2.917490243911743,3.8353147914161325,0.7493346929550171,180
3,last_layer,3,2.801184892654419,3.6841008958782253,0.7687108516693115,180
3,last_layer,4,3.297567129135132,4.395739634209776,0.670727014541626,180
3,full,0,2.1100213527679443,2.8064123603733466,0.8657867908477783,180
3,full,1,2.819295644760132,3.4814684595566416,0.7934538125991821,180
3,full,2,3.057753801345825,4.035287889990321,0.7225139141082764,180
3,full,3,2.841165781021118,3.722546346669251,0.763858437538147,180
3,full,4,3.1463847160339355,4.194431091579267,0.7001953721046448,180
7,output_only,0,3.2586822509765625,3.9222657514347405,0.7378401160240173,420
7,output_only,1,3.39658260345459,4.072726948539919,0.7173410654067993,420
7,output_only,2,3.2073183059692383,4.155682747356887,0.7057089805603027,420
7,output_only,3,3.969984769821167,5.207397722768141,0.5379024744033813,420
7,output_only,4,4.031260013580322,5.307702624801084,0.5199291110038757,420
7,last_layer,0,1.9625244140625,2.7079791986801927,0.8750365972518921,420
7,last_layer,1,1.9663540124893188,2.700433879888274,0.8757320046424866,420
7,last_layer,2,2.002767562866211,2.6895731536964136,0.8767295479774475,420
7,last_layer,3,3.7122182846069336,4.775108032602243,0.61143958568573,420
7,last_layer,4,3.407377004623413,4.5609753295124165,0.6455070376396179,420
7,full,0,2.010369300842285,2.741594995027576,0.8719148635864258,420
7,full,1,2.2817912101745605,3.082673096634694,0.8380626440048218,420
7,full,2,2.0026583671569824,2.7050620839438646,0.8753056526184082,420
7,full,3,3.9061925411224365,5.1280900897058785,0.551870584487915,420
7,full,4,3.2573649883270264,4.348515373407204,0.6777638792991638,420
14,output_only,0,3.4280710220336914,4.156812586748127,0.7055490016937256,840
14,output_only,1,3.45009446144104,4.238546983676943,0.6938556432723999,840
14,output_only,2,3.4427599906921387,4.115739774153585,0.7113390564918518,840
14,output_only,3,3.2231481075286865,4.098632463478363,0.7137337923049927,840
14,output_only,4,3.7068920135498047,4.904271789997077,0.5901346206665039,840
14,last_layer,0,1.9412927627563477,2.7072475506567755,0.8751041293144226,840
14,last_layer,1,1.9152190685272217,2.7345669924226326,0.8725706934928894,840
14,last_layer,2,2.524000883102417,3.361647861663264,0.8074264526367188,840
14,last_layer,3,3.2572522163391113,4.110085081533156,0.7121317386627197,840
14,last_layer,4,2.317277431488037,3.160972159813684,0.829731822013855,840
14,full,0,2.732262134552002,3.4444339523018903,0.7978248000144958,840
14,full,1,1.96328604221344,2.759170414046363,0.870267391204834,840
14,full,2,2.5678181648254395,3.388765167799001,0.8043070435523987,840
14,full,3,3.0161139965057373,3.9245039802615653,0.7375408411026001,840
14,full,4,3.297807455062866,4.409940864702811,0.6685960292816162,840
28,output_only,0,2.5093705654144287,3.154678104380975,0.8304091691970825,1680
28,output_only,1,2.390962839126587,3.036932112743001,0.842832624912262,1680
28,output_only,2,3.433102607727051,4.1108272872644225,0.7120277285575867,1680
28,output_only,3,2.656548500061035,3.4562867478250294,0.7964309453964233,1680
28,output_only,4,3.495725154876709,4.620205843084343,0.6362400650978088,1680
28,last_layer,0,1.9817878007888794,2.705335385865921,0.875280499458313,1680
28,last_layer,1,1.8677725791931152,2.5852333792843947,0.8861083984375,1680
28,last_layer,2,1.9737355709075928,2.8486334820662567,0.8617180585861206,1680
28,last_layer,3,2.5605366230010986,3.3287205409523795,0.8111804723739624,1680
28,last_layer,4,2.544492721557617,3.410107449491531,0.8018343448638916,1680
28,full,0,2.083357095718384,2.7812656016394395,0.8681812882423401,1680
28,full,1,1.7734204530715942,2.545706264323578,0.8895644545555115,1680
28,full,2,1.9500764608383179,2.8017923612914317,0.8662283420562744,1680
28,full,3,2.593975305557251,3.358775950403624,0.8077553510665894,1680
28,full,4,2.660752534866333,3.5463193214479847,0.7856873273849487,1680
999,output_only,0,1.9639769792556763,2.6964526432518343,0.8760981559753418,26156
999,last_layer,0,1.930698275566101,2.73077635335355,0.872923731803894,26156
999,full,0,1.8552213907241821,2.648680639218431,0.8804495334625244,26156
