co_frac,n_co,N_days,method,MAE,seed
0.25,1688,0,pretrained_zs,4.457308292388916,0
0.25,1688,7,pretrained,1.910172939300537,0
0.25,1688,7,scratch,1.8840538263320923,0
0.25,1688,7,pretrained,2.080063581466675,1
0.25,1688,7,scratch,1.9327130317687988,1
0.25,1688,7,pretrained,1.917837381362915,2
0.25,1688,7,scratch,2.0130844116210938,2
0.25,1688,7,pretrained,3.7768375873565674,3
0.25,1688,7,scratch,3.422471284866333,3
0.25,1688,7,pretrained,2.77553129196167,4
0.25,1688,7,scratch,3.646538496017456,4
0.25,1688,14,pretrained,2.1912217140197754,0
0.25,1688,14,scratch,2.0974977016448975,0
0.25,1688,14,pretrained,1.9950671195983887,1
0.25,1688,14,scratch,1.9975035190582275,1
0.25,1688,14,pretrained,2.3462507724761963,2
0.25,1688,14,scratch,2.480203628540039,2
0.25,1688,14,pretrained,2.440152168273926,3
0.25,1688,14,scratch,2.7864131927490234,3
0.25,1688,14,pretrained,2.6513922214508057,4
0.25,1688,14,scratch,2.377060890197754,4
0.25,1688,28,pretrained,2.474055290222168,0
0.25,1688,28,scratch,2.791602849960327,0
0.25,1688,28,pretrained,1.8324453830718994,1
0.25,1688,28,scratch,1.8282346725463867,1
0.25,1688,28,pretrained,1.9888756275177002,2
0.25,1688,28,scratch,2.0432851314544678,2
0.25,1688,28,pretrained,2.5241808891296387,3
0.25,1688,28,scratch,2.597353458404541,3
0.25,1688,28,pretrained,2.6273512840270996,4
0.25,1688,28,scratch,2.805708408355713,4
0.5,3376,0,pretrained_zs,3.8146040439605713,0
0.5,3376,7,pretrained,1.8753260374069214,0
0.5,3376,7,scratch,1.955823302268982,0
0.5,3376,7,pretrained,1.9708608388900757,1
0.5,3376,7,scratch,1.9876859188079834,1
0.5,3376,7,pretrained,1.8148021697998047,2
0.5,3376,7,scratch,1.8083852529525757,2
0.5,3376,7,pretrained,3.6229984760284424,3
0.5,3376,7,scratch,3.6115612983703613,3
0.5,3376,7,pretrained,3.684210777282715,4
0.5,3376,7,scratch,2.7198832035064697,4
0.5,3376,14,pretrained,1.9066606760025024,0
0.5,3376,14,scratch,2.0277769565582275,0
0.5,3376,14,pretrained,1.9066828489303589,1
0.5,3376,14,scratch,2.014483690261841,1
0.5,3376,14,pretrained,2.199043035507202,2
0.5,3376,14,scratch,2.2601356506347656,2
0.5,3376,14,pretrained,2.5914812088012695,3
0.5,3376,14,scratch,2.3422720432281494,3
0.5,3376,14,pretrained,2.834327220916748,4
0.5,3376,14,scratch,2.8573732376098633,4
0.5,3376,28,pretrained,2.515348196029663,0
0.5,3376,28,scratch,2.7173755168914795,0
0.5,3376,28,pretrained,1.7732946872711182,1
0.5,3376,28,scratch,1.7616592645645142,1
0.5,3376,28,pretrained,2.000887393951416,2
0.5,3376,28,scratch,2.0263736248016357,2
0.5,3376,28,pretrained,2.51527738571167,3
0.5,3376,28,scratch,2.4723689556121826,3
0.5,3376,28,pretrained,2.6098217964172363,4
0.5,3376,28,scratch,2.644761323928833,4
0.75,5064,0,pretrained_zs,4.824645042419434,0
0.75,5064,7,pretrained,1.8357220888137817,0
0.75,5064,7,scratch,1.896846055984497,0
