N,method,seed,MAE
7,1_SimpleFT,0,1.8473321199417114
7,2_TCA,0,9.752781867980957
7,3_CORAL,0,1.8881272077560425
7,4_MMD,0,3.0837044715881348
7,5_DANN,0,4.423964500427246
7,6_Scratch,0,1.9000262022018433
7,1_SimpleFT,1,1.7895883321762085
7,2_TCA,1,23.234376907348633
7,3_CORAL,1,2.3334200382232666
7,4_MMD,1,2.9391415119171143
7,5_DANN,1,4.294460296630859
7,6_Scratch,1,1.794272541999817
7,1_SimpleFT,2,1.8328971862792969
7,2_TCA,2,12.277061462402344
7,3_CORAL,2,1.8971812725067139
7,4_MMD,2,2.7836248874664307
7,5_DANN,2,4.319873332977295
7,6_Scratch,2,1.8011895418167114
14,1_SimpleFT,0,2.1790108680725098
14,2_TCA,0,16.930076599121094
14,3_CORAL,0,2.6779556274414062
14,4_MMD,0,1.7738580703735352
14,5_DANN,0,4.4240827560424805
14,6_Scratch,0,1.9685161113739014
14,1_SimpleFT,1,1.887621521949768
14,2_TCA,1,24.97035789489746
14,3_CORAL,1,1.9540761709213257
14,4_MMD,1,1.7075426578521729
14,5_DANN,1,4.344357490539551
14,6_Scratch,1,1.9217923879623413
14,1_SimpleFT,2,2.062124490737915
14,2_TCA,2,13.744842529296875
14,3_CORAL,2,2.667153835296631
14,4_MMD,2,1.992798924446106
14,5_DANN,2,4.416627407073975
14,6_Scratch,2,2.2752432823181152
28,1_SimpleFT,0,2.1958863735198975
28,2_TCA,0,14.816394805908203
28,3_CORAL,0,2.031205415725708
28,4_MMD,0,1.9165148735046387
28,5_DANN,0,4.270123481750488
28,6_Scratch,0,2.8581552505493164
28,1_SimpleFT,1,1.730777621269226
28,2_TCA,1,34.77945327758789
28,3_CORAL,1,1.7254458665847778
28,4_MMD,1,1.7093288898468018
28,5_DANN,1,4.214641571044922
28,6_Scratch,1,1.7457956075668335
28,1_SimpleFT,2,1.9056774377822876
28,2_TCA,2,7.744068145751953
28,3_CORAL,2,1.9400966167449951
28,4_MMD,2,1.7733045816421509
28,5_DANN,2,4.490567207336426
28,6_Scratch,2,2.1073577404022217
