N,method,seed,MAE
7,1_SimpleFT,0,1.9393737316131592
7,2_MMD,0,2.0701727867126465
7,3_Scratch,0,1.8920345306396484
7,1_SimpleFT,1,1.9524251222610474
7,2_MMD,1,1.9598398208618164
7,3_Scratch,1,1.8433719873428345
7,1_SimpleFT,2,1.9504410028457642
7,2_MMD,2,1.9386816024780273
7,3_Scratch,2,1.8271939754486084
7,1_SimpleFT,3,3.577171564102173
7,2_MMD,3,2.713411808013916
7,3_Scratch,3,3.5988943576812744
7,1_SimpleFT,4,4.003378868103027
7,2_MMD,4,2.9223716259002686
7,3_Scratch,4,2.4891772270202637
7,1_SimpleFT,5,2.9227817058563232
7,2_MMD,5,2.0271122455596924
7,3_Scratch,5,2.555222749710083
7,1_SimpleFT,6,2.399611711502075
7,2_MMD,6,2.2906124591827393
7,3_Scratch,6,2.0347695350646973
7,1_SimpleFT,7,3.732855796813965
7,2_MMD,7,2.8067636489868164
7,3_Scratch,7,3.735819101333618
7,1_SimpleFT,8,2.906850576400757
7,2_MMD,8,2.348060369491577
7,3_Scratch,8,2.930373191833496
7,1_SimpleFT,9,3.9085822105407715
7,2_MMD,9,1.9206254482269287
7,3_Scratch,9,1.9678997993469238
14,1_SimpleFT,0,2.4773850440979004
14,2_MMD,0,1.9753910303115845
14,3_Scratch,0,2.1962249279022217
14,1_SimpleFT,1,2.0081100463867188
14,2_MMD,1,1.801362156867981
14,3_Scratch,1,1.895646095275879
14,1_SimpleFT,2,2.1002440452575684
14,2_MMD,2,2.090536594390869
14,3_Scratch,2,2.1507813930511475
14,1_SimpleFT,3,2.7100086212158203
14,2_MMD,3,2.437619686126709
14,3_Scratch,3,2.6801910400390625
14,1_SimpleFT,4,3.001295328140259
14,2_MMD,4,2.7049500942230225
14,3_Scratch,4,2.787050485610962
14,1_SimpleFT,5,2.88032603263855
14,2_MMD,5,2.0784168243408203
14,3_Scratch,5,2.95875883102417
14,1_SimpleFT,6,2.225679397583008
14,2_MMD,6,2.149871587753296
14,3_Scratch,6,1.959790825843811
14,1_SimpleFT,7,2.869680881500244
14,2_MMD,7,2.633618116378784
14,3_Scratch,7,2.493650436401367
14,1_SimpleFT,8,2.467632532119751
14,2_MMD,8,2.2845449447631836
14,3_Scratch,8,2.2937850952148438
14,1_SimpleFT,9,1.8893585205078125
14,2_MMD,9,1.8334178924560547
14,3_Scratch,9,1.8711169958114624
28,1_SimpleFT,0,2.538738489151001
28,2_MMD,0,2.024742841720581
28,3_Scratch,0,2.7426576614379883
28,1_SimpleFT,1,1.728783130645752
28,2_MMD,1,1.7481309175491333
28,3_Scratch,1,1.7529575824737549
28,1_SimpleFT,2,2.0905027389526367
28,2_MMD,2,1.782302975654602
28,3_Scratch,2,1.998584270477295
28,1_SimpleFT,3,2.4118785858154297
28,2_MMD,3,2.305999755859375
28,3_Scratch,3,2.362149238586426
28,1_SimpleFT,4,2.8384463787078857
28,2_MMD,4,2.4843380451202393
28,3_Scratch,4,2.530812978744507
28,1_SimpleFT,5,2.5513296127319336
28,2_MMD,5,2.0012574195861816
28,3_Scratch,5,2.1930809020996094
28,1_SimpleFT,6,3.154541492462158
28,2_MMD,6,2.4379818439483643
28,3_Scratch,6,3.293128728866577
28,1_SimpleFT,7,2.805229902267456
28,2_MMD,7,2.5764858722686768
28,3_Scratch,7,2.2978086471557617
28,1_SimpleFT,8,2.774702548980713
28,2_MMD,8,2.0862278938293457
28,3_Scratch,8,2.073423385620117
28,1_SimpleFT,9,2.7070016860961914
28,2_MMD,9,2.5012834072113037
28,3_Scratch,9,2.435068368911743
