approach,lambda,seed,MAE
inequality,0.01,0,2.7125930786132812
inequality,0.01,1,2.71152400970459
inequality,0.01,2,2.713318109512329
inequality,0.01,3,2.711886167526245
inequality,0.01,4,2.7114620208740234
equality_0.1,0.1,0,2.8546910285949707
equality_0.1,0.1,1,2.8534693717956543
equality_0.1,0.1,2,2.854419231414795
equality_0.1,0.1,3,2.8551371097564697
equality_0.1,0.1,4,2.8541576862335205
equality_0.5,0.5,0,2.8550634384155273
equality_0.5,0.5,1,2.8539621829986572
equality_0.5,0.5,2,2.8553669452667236
equality_0.5,0.5,3,2.8559672832489014
equality_0.5,0.5,4,2.8557095527648926
equality_1.0,1.0,0,2.8551247119903564
equality_1.0,1.0,1,2.8551042079925537
equality_1.0,1.0,2,2.855619192123413
equality_1.0,1.0,3,2.856273651123047
equality_1.0,1.0,4,2.855870485305786
hybrid_0.5,0.5,0,2.8549652099609375
hybrid_0.5,0.5,1,2.8539395332336426
hybrid_0.5,0.5,2,2.8553600311279297
hybrid_0.5,0.5,3,2.8553271293640137
hybrid_0.5,0.5,4,2.855560302734375
hybrid_1.0,1.0,0,2.855076551437378
hybrid_1.0,1.0,1,2.8550546169281006
hybrid_1.0,1.0,2,2.855518341064453
hybrid_1.0,1.0,3,2.856177806854248
hybrid_1.0,1.0,4,2.855778217315674
soft_eq_0.5,0.5,0,2.854719400405884
soft_eq_0.5,0.5,1,2.8534793853759766
soft_eq_0.5,0.5,2,2.854419231414795
soft_eq_0.5,0.5,3,2.855154514312744
soft_eq_0.5,0.5,4,2.8541975021362305
soft_eq_1.0,1.0,0,2.8550634384155273
soft_eq_1.0,1.0,1,2.8539621829986572
soft_eq_1.0,1.0,2,2.8553669452667236
soft_eq_1.0,1.0,3,2.8559672832489014
soft_eq_1.0,1.0,4,2.8557095527648926
