site,approach,seed,MAE
FL,inequality,0,2.7125930786132812
FL,inequality,1,2.71152400970459
FL,inequality,2,2.713318109512329
FL,inequality,3,2.711886405944824
FL,inequality,4,2.7114620208740234
FL,equality,0,2.8550634384155273
FL,equality,1,2.8539621829986572
FL,equality,2,2.8553669452667236
FL,equality,3,2.8559672832489014
FL,equality,4,2.8557097911834717
FL,soft_equality,0,2.854719400405884
FL,soft_equality,1,2.8534793853759766
FL,soft_equality,2,2.854419231414795
FL,soft_equality,3,2.855154514312744
FL,soft_equality,4,2.8541975021362305
OR,inequality,0,1.5508253574371338
OR,inequality,1,1.5508421659469604
OR,inequality,2,1.5508596897125244
OR,inequality,3,1.5508071184158325
OR,inequality,4,1.5509462356567383
OR,equality,0,1.54572594165802
OR,equality,1,1.5458852052688599
OR,equality,2,1.5459023714065552
OR,equality,3,1.5457336902618408
OR,equality,4,1.5459339618682861
OR,soft_equality,0,1.54572594165802
OR,soft_equality,1,1.5458850860595703
OR,soft_equality,2,1.5459023714065552
OR,soft_equality,3,1.5457336902618408
OR,soft_equality,4,1.5459339618682861
