site,approach,seed,MAE
FL,inequality,0,2.7117679119110107
FL,inequality,1,2.713547945022583
FL,inequality,2,2.7117362022399902
FL,inequality,3,2.712045669555664
FL,inequality,4,2.7110042572021484
FL,equality,0,2.855764389038086
FL,equality,1,2.854243278503418
FL,equality,2,2.8555774688720703
FL,equality,3,2.8559234142303467
FL,equality,4,2.8552327156066895
FL,twilight_anchor,0,2.8118784427642822
FL,twilight_anchor,1,2.8143324851989746
FL,twilight_anchor,2,2.8103179931640625
FL,twilight_anchor,3,2.8128955364227295
FL,twilight_anchor,4,2.8149476051330566
FL,physics_disagree,0,3.016021728515625
FL,physics_disagree,1,3.015784740447998
FL,physics_disagree,2,3.0154740810394287
FL,physics_disagree,3,3.015831708908081
FL,physics_disagree,4,3.015939712524414
FL,hybrid_AB,0,3.017369508743286
FL,hybrid_AB,1,3.017838478088379
FL,hybrid_AB,2,3.016896963119507
FL,hybrid_AB,3,3.019225597381592
FL,hybrid_AB,4,3.018906593322754
FL,hybrid_AB_strong,0,2.991826057434082
FL,hybrid_AB_strong,1,2.991177558898926
FL,hybrid_AB_strong,2,2.9928438663482666
FL,hybrid_AB_strong,3,2.9937946796417236
FL,hybrid_AB_strong,4,2.9901480674743652
OR,inequality,0,1.5136034488677979
OR,inequality,1,1.5136034488677979
OR,inequality,2,1.5136034488677979
OR,inequality,3,1.5136034488677979
OR,inequality,4,1.5136034488677979
OR,equality,0,1.5136034488677979
OR,equality,1,1.5136034488677979
OR,equality,2,1.5136034488677979
OR,equality,3,1.5136034488677979
OR,equality,4,1.5136034488677979
OR,twilight_anchor,0,1.4801517724990845
OR,twilight_anchor,1,1.4785010814666748
OR,twilight_anchor,2,1.47911536693573
OR,twilight_anchor,3,1.4798897504806519
OR,twilight_anchor,4,1.4798259735107422
OR,physics_disagree,0,1.5136034488677979
OR,physics_disagree,1,1.5136034488677979
OR,physics_disagree,2,1.5136034488677979
OR,physics_disagree,3,1.5136034488677979
OR,physics_disagree,4,1.5136034488677979
OR,hybrid_AB,0,1.4916043281555176
OR,hybrid_AB,1,1.4910894632339478
OR,hybrid_AB,2,1.4946221113204956
OR,hybrid_AB,3,1.4930535554885864
OR,hybrid_AB,4,1.4910942316055298
OR,hybrid_AB_strong,0,1.488316535949707
OR,hybrid_AB_strong,1,1.4916828870773315
OR,hybrid_AB_strong,2,1.4877392053604126
OR,hybrid_AB_strong,3,1.4899910688400269
OR,hybrid_AB_strong,4,1.488174319267273
