Model,Scenario,MAE,MAE_std
ResidualMLP (ours),Zero-shot,3.0434296131134033,
ResidualMLP (ours),Few-shot 3d,2.432751989364624,0.4924682256370502
LSTM-32,Zero-shot,3.140184164047241,
LSTM-32,Few-shot 3d,2.9201956748962403,0.3310392069104478
GRU-32,Zero-shot,3.0730514526367188,
GRU-32,Few-shot 3d,2.856489133834839,0.34525163698039146
LargeMLP-64,Zero-shot,3.391526699066162,
LargeMLP-64,Few-shot 3d,2.319906735420227,0.4242961940750573
Linear Regression,Few-shot 3d,5.490668796139597,3.7714522362583858
Ridge,Few-shot 3d,4.695862389348771,2.51038737858398
Random Forest,Few-shot 3d,1.9484605891656117,0.08339110222039271
XGBoost,Few-shot 3d,2.1052800502061557,0.17357690523492414
