Model,Params,MAE,RMSE,Type,MAE_std
Faiman (U0=25),N/A,3.8609282021655766,5.214945651578892,Physics,
Faiman+RH,N/A,2.8682562438926307,3.8906473316718357,Physics,
SAPM,N/A,3.343855561691351,4.538577814774956,Physics,
Linear Regression,6,1.8527078186250783,2.691691913439751,ML,
Ridge Regression,6,1.8537607395383566,2.693921951294457,ML,
XGBoost,~5K,1.8162672697631035,2.6102576192162137,ML,
Random Forest,~50K,1.7869956915648546,2.5783785465702698,ML,
ResidualMLP (ours),737,1.8232417345046996,2.6026009559631347,Neural,0.03833560004230237
LSTM-32,5025,1.8204045295715332,2.5992692947387694,Neural,0.015960220161071844
GRU-32,3777,1.8190176963806153,2.60116925239563,Neural,0.01895633846034451
LargeMLP-64,3009,1.8011156797409058,2.5778783798217773,Neural,0.009821842957410093
