N_days,strategy,seed,FL_MAE,CO_MAE,n_samples
1,last_layer,0,3.441378116607666,2.855231523513794,60
1,last_layer,1,6.823862075805664,7.524186134338379,60
1,last_layer,2,3.0690486431121826,2.6528968811035156,60
1,last_layer,3,4.320901393890381,3.298532485961914,60
1,last_layer,4,3.2143664360046387,2.544461250305176,60
1,full,0,3.299391746520996,2.8457043170928955,60
1,full,1,3.7587289810180664,4.922194480895996,60
1,full,2,3.285456657409668,2.5488338470458984,60
1,full,3,3.8597309589385986,3.458927631378174,60
1,full,4,3.198618173599243,2.675051212310791,60
3,last_layer,0,2.0034589767456055,5.933002471923828,180
3,last_layer,1,6.624862194061279,12.333539962768555,180
3,last_layer,2,3.006279706954956,3.00058913230896,180
3,last_layer,3,2.690809488296509,3.7672297954559326,180
3,last_layer,4,3.0805299282073975,3.825568199157715,180
3,full,0,2.0633740425109863,5.518245220184326,180
3,full,1,4.9229536056518555,9.24068546295166,180
3,full,2,3.1360368728637695,2.775104284286499,180
3,full,3,2.693450450897217,3.454784870147705,180
3,full,4,3.0675837993621826,2.9013237953186035,180
7,last_layer,0,1.8979390859603882,6.370604515075684,420
7,last_layer,1,2.259869337081909,5.299233913421631,420
7,last_layer,2,2.058089256286621,4.245329856872559,420
7,last_layer,3,3.9650895595550537,2.6671361923217773,420
7,last_layer,4,3.3517849445343018,2.6563973426818848,420
7,full,0,1.9810036420822144,6.079723358154297,420
7,full,1,2.1872329711914062,5.999840259552002,420
7,full,2,2.115516424179077,3.9922564029693604,420
7,full,3,3.766037702560425,2.551692485809326,420
7,full,4,3.260568857192993,2.654695987701416,420
14,last_layer,0,2.2312209606170654,4.32080602645874,840
14,last_layer,1,2.163886547088623,5.066603183746338,840
14,last_layer,2,2.2045016288757324,7.658154010772705,840
14,last_layer,3,2.7716152667999268,3.635559320449829,840
14,last_layer,4,3.379359722137451,2.481703042984009,840
14,full,0,2.380282402038574,4.225101947784424,840
14,full,1,1.9879640340805054,8.277944564819336,840
14,full,2,2.3637759685516357,6.797399044036865,840
14,full,3,2.721240997314453,3.55973744392395,840
14,full,4,3.2168822288513184,2.755201816558838,840
28,last_layer,0,2.578904390335083,4.546789169311523,1680
28,last_layer,1,1.7841942310333252,8.479131698608398,1680
28,last_layer,2,2.007723808288574,5.716694355010986,1680
28,last_layer,3,2.736506223678589,5.402048587799072,1680
28,last_layer,4,3.1557493209838867,3.1752524375915527,1680
28,full,0,2.513422727584839,4.324562072753906,1680
28,full,1,1.7964857816696167,7.573768615722656,1680
28,full,2,2.073707342147827,5.27310848236084,1680
28,full,3,2.5709567070007324,4.5602240562438965,1680
28,full,4,3.050189733505249,2.8873047828674316,1680
999,last_layer,0,1.8545809984207153,,26156
999,full,0,1.838789701461792,,26156
