source,target,seed,method,MAE,n_samples
CO,FL,0,A_Faiman+bias,3.5278687477111816,180
CO,FL,0,B_Scratch,2.0270836353302,180
CO,FL,0,C_Transfer,1.9636309146881104,180
CO,FL,1,A_Faiman+bias,3.871253252029419,180
CO,FL,1,B_Scratch,7.501793384552002,180
CO,FL,1,C_Transfer,3.702267646789551,180
CO,FL,2,A_Faiman+bias,3.3544633388519287,180
CO,FL,2,B_Scratch,2.79128360748291,180
CO,FL,2,C_Transfer,2.9709973335266113,180
CO,FL,3,A_Faiman+bias,3.332947015762329,180
CO,FL,3,B_Scratch,2.7080698013305664,180
CO,FL,3,C_Transfer,2.6078665256500244,180
CO,FL,4,A_Faiman+bias,3.377244234085083,180
CO,FL,4,B_Scratch,2.488386631011963,180
CO,FL,4,C_Transfer,2.560084104537964,180
CO,FL,5,A_Faiman+bias,3.803243398666382,180
CO,FL,5,B_Scratch,2.1160967350006104,180
CO,FL,5,C_Transfer,3.546661138534546,180
CO,FL,6,A_Faiman+bias,3.32989764213562,180
CO,FL,6,B_Scratch,2.098264455795288,180
CO,FL,6,C_Transfer,1.8558261394500732,180
CO,FL,7,A_Faiman+bias,3.3509693145751953,180
CO,FL,7,B_Scratch,1.9281620979309082,180
CO,FL,7,C_Transfer,1.8659664392471313,180
CO,FL,8,A_Faiman+bias,3.355982542037964,180
CO,FL,8,B_Scratch,3.040131092071533,180
CO,FL,8,C_Transfer,3.5001511573791504,180
CO,FL,9,A_Faiman+bias,4.114826202392578,180
CO,FL,9,B_Scratch,2.8931782245635986,180
CO,FL,9,C_Transfer,2.798264503479004,180
CO,FL,10,A_Faiman+bias,3.5814876556396484,180
CO,FL,10,B_Scratch,2.817253828048706,180
CO,FL,10,C_Transfer,3.594589948654175,180
CO,FL,11,A_Faiman+bias,3.33200740814209,180
CO,FL,11,B_Scratch,1.8200803995132446,180
CO,FL,11,C_Transfer,1.9218169450759888,180
CO,FL,12,A_Faiman+bias,3.3858394622802734,180
CO,FL,12,B_Scratch,2.0153512954711914,180
CO,FL,12,C_Transfer,2.1400368213653564,180
CO,FL,13,A_Faiman+bias,3.526496410369873,180
CO,FL,13,B_Scratch,2.230572462081909,180
CO,FL,13,C_Transfer,2.644223690032959,180
CO,FL,14,A_Faiman+bias,3.3626134395599365,180
CO,FL,14,B_Scratch,2.169403314590454,180
CO,FL,14,C_Transfer,2.2352964878082275,180
CO,FL,15,A_Faiman+bias,3.3460254669189453,180
CO,FL,15,B_Scratch,3.0006015300750732,180
CO,FL,15,C_Transfer,3.0248444080352783,180
CO,FL,16,A_Faiman+bias,3.321366548538208,180
CO,FL,16,B_Scratch,2.5391299724578857,180
CO,FL,16,C_Transfer,2.613731622695923,180
CO,FL,17,A_Faiman+bias,3.4110159873962402,180
CO,FL,17,B_Scratch,3.514249801635742,180
CO,FL,17,C_Transfer,3.443126678466797,180
CO,FL,18,A_Faiman+bias,3.359156370162964,180
CO,FL,18,B_Scratch,2.086071729660034,180
CO,FL,18,C_Transfer,3.5011074542999268,180
CO,FL,19,A_Faiman+bias,3.409599542617798,180
CO,FL,19,B_Scratch,3.408677816390991,180
CO,FL,19,C_Transfer,3.4141108989715576,180
CO,OR,0,A_Faiman+bias,1.6700160503387451,180
CO,OR,0,B_Scratch,1.534986972808838,180
CO,OR,0,C_Transfer,1.4812794923782349,180
CO,OR,1,A_Faiman+bias,1.6824305057525635,180
CO,OR,1,B_Scratch,1.4878711700439453,180
CO,OR,1,C_Transfer,1.4165501594543457,180
CO,OR,2,A_Faiman+bias,1.8754260540008545,180
CO,OR,2,B_Scratch,1.4616161584854126,180
CO,OR,2,C_Transfer,1.4089927673339844,180
CO,OR,3,A_Faiman+bias,1.7062551975250244,180
CO,OR,3,B_Scratch,1.6609421968460083,180
CO,OR,3,C_Transfer,1.6487128734588623,180
CO,OR,4,A_Faiman+bias,1.679911494255066,180
CO,OR,4,B_Scratch,3.3883378505706787,180
CO,OR,4,C_Transfer,2.25008487701416,180
CO,OR,5,A_Faiman+bias,1.7806004285812378,180
CO,OR,5,B_Scratch,1.6060523986816406,180
CO,OR,5,C_Transfer,1.5965065956115723,180
CO,OR,6,A_Faiman+bias,2.5109856128692627,180
CO,OR,6,B_Scratch,1.992141604423523,180
CO,OR,6,C_Transfer,2.0557608604431152,180
CO,OR,7,A_Faiman+bias,1.8535975217819214,180
CO,OR,7,B_Scratch,1.848793387413025,180
CO,OR,7,C_Transfer,1.802571177482605,180
CO,OR,8,A_Faiman+bias,4.034772872924805,180
CO,OR,8,B_Scratch,2.5031964778900146,180
CO,OR,8,C_Transfer,2.5693864822387695,180
CO,OR,9,A_Faiman+bias,2.755216360092163,180
CO,OR,9,B_Scratch,2.916602611541748,180
CO,OR,9,C_Transfer,2.1254405975341797,180
CO,OR,10,A_Faiman+bias,1.678308129310608,180
CO,OR,10,B_Scratch,1.78456449508667,180
CO,OR,10,C_Transfer,1.591565489768982,180
CO,OR,11,A_Faiman+bias,2.479414939880371,180
CO,OR,11,B_Scratch,2.501333475112915,180
CO,OR,11,C_Transfer,2.620586395263672,180
CO,OR,12,A_Faiman+bias,1.7031593322753906,180
CO,OR,12,B_Scratch,1.5708413124084473,180
CO,OR,12,C_Transfer,1.599982500076294,180
CO,OR,13,A_Faiman+bias,1.6854026317596436,180
CO,OR,13,B_Scratch,1.5034321546554565,180
CO,OR,13,C_Transfer,1.4176808595657349,180
CO,OR,14,A_Faiman+bias,1.845878005027771,180
CO,OR,14,B_Scratch,1.7169759273529053,180
CO,OR,14,C_Transfer,1.888870120048523,180
CO,OR,15,A_Faiman+bias,2.147512197494507,180
CO,OR,15,B_Scratch,2.859816312789917,180
CO,OR,15,C_Transfer,1.929624319076538,180
CO,OR,16,A_Faiman+bias,1.8440628051757812,180
CO,OR,16,B_Scratch,1.6357944011688232,180
CO,OR,16,C_Transfer,1.4918287992477417,180
CO,OR,17,A_Faiman+bias,4.735140800476074,180
CO,OR,17,B_Scratch,3.260387420654297,180
CO,OR,17,C_Transfer,3.6273880004882812,180
CO,OR,18,A_Faiman+bias,1.6631090641021729,180
CO,OR,18,B_Scratch,1.6503657102584839,180
CO,OR,18,C_Transfer,1.550022840499878,180
CO,OR,19,A_Faiman+bias,4.743372917175293,180
CO,OR,19,B_Scratch,2.9064905643463135,180
CO,OR,19,C_Transfer,3.6434922218322754,180
FL,CO,0,A_Faiman+bias,2.1705639362335205,180
FL,CO,0,B_Scratch,2.2404298782348633,180
FL,CO,0,C_Transfer,3.8592026233673096,180
FL,CO,1,A_Faiman+bias,2.259228229522705,180
FL,CO,1,B_Scratch,2.193023204803467,180
FL,CO,1,C_Transfer,3.3728086948394775,180
FL,CO,2,A_Faiman+bias,2.421534538269043,180
FL,CO,2,B_Scratch,2.18522047996521,180
FL,CO,2,C_Transfer,4.7879719734191895,180
FL,CO,3,A_Faiman+bias,2.1848108768463135,180
FL,CO,3,B_Scratch,2.065463066101074,180
FL,CO,3,C_Transfer,2.1893491744995117,180
FL,CO,4,A_Faiman+bias,2.1706809997558594,180
FL,CO,4,B_Scratch,2.045652389526367,180
FL,CO,4,C_Transfer,2.5612428188323975,180
FL,CO,5,A_Faiman+bias,2.27018404006958,180
FL,CO,5,B_Scratch,2.242008924484253,180
FL,CO,5,C_Transfer,5.882124423980713,180
FL,CO,6,A_Faiman+bias,2.1695690155029297,180
FL,CO,6,B_Scratch,2.3519983291625977,180
FL,CO,6,C_Transfer,3.3744781017303467,180
FL,CO,7,A_Faiman+bias,2.207580089569092,180
FL,CO,7,B_Scratch,2.1157846450805664,180
FL,CO,7,C_Transfer,3.084118127822876,180
FL,CO,8,A_Faiman+bias,2.157268762588501,180
FL,CO,8,B_Scratch,2.290304183959961,180
FL,CO,8,C_Transfer,3.3276593685150146,180
FL,CO,9,A_Faiman+bias,2.1577601432800293,180
FL,CO,9,B_Scratch,2.034700632095337,180
FL,CO,9,C_Transfer,2.4210078716278076,180
FL,CO,10,A_Faiman+bias,2.2638912200927734,180
FL,CO,10,B_Scratch,2.1380774974823,180
FL,CO,10,C_Transfer,2.373255491256714,180
FL,CO,11,A_Faiman+bias,2.391139030456543,180
FL,CO,11,B_Scratch,2.1541380882263184,180
FL,CO,11,C_Transfer,2.6959152221679688,180
FL,CO,12,A_Faiman+bias,2.365360975265503,180
FL,CO,12,B_Scratch,2.208014726638794,180
FL,CO,12,C_Transfer,2.4174509048461914,180
FL,CO,13,A_Faiman+bias,2.1589102745056152,180
FL,CO,13,B_Scratch,2.1858835220336914,180
FL,CO,13,C_Transfer,2.521077871322632,180
FL,CO,14,A_Faiman+bias,2.170930862426758,180
FL,CO,14,B_Scratch,2.184190034866333,180
FL,CO,14,C_Transfer,2.61419415473938,180
FL,CO,15,A_Faiman+bias,2.159780263900757,180
FL,CO,15,B_Scratch,2.2261135578155518,180
FL,CO,15,C_Transfer,4.253767490386963,180
FL,CO,16,A_Faiman+bias,2.1593780517578125,180
FL,CO,16,B_Scratch,2.396554470062256,180
FL,CO,16,C_Transfer,2.612210988998413,180
FL,CO,17,A_Faiman+bias,2.1697752475738525,180
FL,CO,17,B_Scratch,2.115767240524292,180
FL,CO,17,C_Transfer,2.810720920562744,180
FL,CO,18,A_Faiman+bias,2.1669719219207764,180
FL,CO,18,B_Scratch,2.1620006561279297,180
FL,CO,18,C_Transfer,2.5883302688598633,180
FL,CO,19,A_Faiman+bias,2.2487905025482178,180
FL,CO,19,B_Scratch,2.1533608436584473,180
FL,CO,19,C_Transfer,2.5242133140563965,180
FL,OR,0,A_Faiman+bias,1.6700160503387451,180
FL,OR,0,B_Scratch,1.472039818763733,180
FL,OR,0,C_Transfer,1.8283841609954834,180
FL,OR,1,A_Faiman+bias,1.6824305057525635,180
FL,OR,1,B_Scratch,1.6414484977722168,180
FL,OR,1,C_Transfer,1.658785104751587,180
FL,OR,2,A_Faiman+bias,1.8754260540008545,180
FL,OR,2,B_Scratch,1.7245794534683228,180
FL,OR,2,C_Transfer,1.6649081707000732,180
FL,OR,3,A_Faiman+bias,1.7062551975250244,180
FL,OR,3,B_Scratch,1.7408214807510376,180
FL,OR,3,C_Transfer,2.0979719161987305,180
FL,OR,4,A_Faiman+bias,1.679911494255066,180
FL,OR,4,B_Scratch,2.1448099613189697,180
FL,OR,4,C_Transfer,2.1570329666137695,180
FL,OR,5,A_Faiman+bias,1.7806004285812378,180
FL,OR,5,B_Scratch,1.6417819261550903,180
FL,OR,5,C_Transfer,1.4676531553268433,180
FL,OR,6,A_Faiman+bias,2.5109856128692627,180
FL,OR,6,B_Scratch,2.678208589553833,180
FL,OR,6,C_Transfer,1.9877413511276245,180
FL,OR,7,A_Faiman+bias,1.8535975217819214,180
FL,OR,7,B_Scratch,1.8148596286773682,180
FL,OR,7,C_Transfer,2.9728426933288574,180
FL,OR,8,A_Faiman+bias,4.034772872924805,180
FL,OR,8,B_Scratch,2.4084134101867676,180
FL,OR,8,C_Transfer,2.152470350265503,180
FL,OR,9,A_Faiman+bias,2.755216360092163,180
FL,OR,9,B_Scratch,1.840347409248352,180
FL,OR,9,C_Transfer,1.5665768384933472,180
FL,OR,10,A_Faiman+bias,1.678308129310608,180
FL,OR,10,B_Scratch,1.8307528495788574,180
FL,OR,10,C_Transfer,2.1552858352661133,180
FL,OR,11,A_Faiman+bias,2.479414939880371,180
FL,OR,11,B_Scratch,2.533735752105713,180
FL,OR,11,C_Transfer,2.3636698722839355,180
FL,OR,12,A_Faiman+bias,1.7031593322753906,180
FL,OR,12,B_Scratch,1.6198680400848389,180
FL,OR,12,C_Transfer,1.9174009561538696,180
FL,OR,13,A_Faiman+bias,1.6854026317596436,180
FL,OR,13,B_Scratch,1.5402793884277344,180
FL,OR,13,C_Transfer,1.6722302436828613,180
