SEASONAL MAE BREAKDOWN (2023)
==================================================

Month    Faiman  MLP-F32 MLP-INT8   T_mean    Count
1         1.844    1.161    1.154     19.1     3194
2         2.288    1.420    1.363     22.3     3425
3         2.174    1.377    1.303     24.3     4085
4         2.171    1.169    1.206     35.6     4530
5         2.777    1.673    1.731     38.6     4971
6         2.646    1.516    1.589     40.7     4960
7         3.025    1.283    1.190     48.5     5170
8         2.791    1.221    1.269     46.7     4799
9         2.431    1.299    1.318     41.4     3963
10        2.610    1.981    1.990     36.6     3999
