SEASONAL MAE (4-FEATURE MODEL)
============================================================

Month    Faiman   MLP-4f     INT8   T_mean    Count
1         1.844    1.072    1.079     19.1     3194
2         2.288    1.423    1.424     22.3     3425
3         2.174    1.490    1.481     24.3     4085
4         2.171    1.181    1.187     35.6     4530
5         2.777    1.569    1.586     38.6     4971
6         2.646    1.473    1.501     40.7     4960
7         3.025    1.278    1.320     48.5     5170
8         2.791    1.224    1.252     46.7     4799
9         2.431    1.103    1.133     41.4     3963
10        2.610    1.330    1.358     36.6     3999
