N,seed,method,MAE,n_samples
1,0,A_Faiman+bias,3.367856025695801,60.0
1,0,B_Scratch_Res5f,3.2048275470733643,60.0
1,0,C_Pretrained_Res5f,2.6573898792266846,60.0
1,0,D_Pretrained_Std4f,2.318626642227173,60.0
1,1,A_Faiman+bias,5.173845291137695,60.0
1,1,B_Scratch_Res5f,5.69612979888916,60.0
1,1,C_Pretrained_Res5f,5.798004627227783,60.0
1,1,D_Pretrained_Std4f,3.6301591396331787,60.0
1,2,A_Faiman+bias,3.372018575668335,60.0
1,2,B_Scratch_Res5f,3.1204116344451904,60.0
1,2,C_Pretrained_Res5f,3.1866488456726074,60.0
1,2,D_Pretrained_Std4f,2.7787082195281982,60.0
1,3,A_Faiman+bias,3.6354990005493164,60.0
1,3,B_Scratch_Res5f,2.7530736923217773,60.0
1,3,C_Pretrained_Res5f,3.8339760303497314,60.0
1,3,D_Pretrained_Std4f,3.548204183578491,60.0
1,4,A_Faiman+bias,3.4010119438171387,60.0
1,4,B_Scratch_Res5f,2.9709339141845703,60.0
1,4,C_Pretrained_Res5f,3.112950086593628,60.0
1,4,D_Pretrained_Std4f,2.7833216190338135,60.0
1,5,A_Faiman+bias,3.80745267868042,60.0
1,5,B_Scratch_Res5f,3.50390625,60.0
1,5,C_Pretrained_Res5f,3.936225414276123,60.0
1,5,D_Pretrained_Std4f,3.6662228107452393,60.0
1,6,A_Faiman+bias,3.5186214447021484,60.0
1,6,B_Scratch_Res5f,2.342500686645508,60.0
1,6,C_Pretrained_Res5f,2.4904894828796387,60.0
1,6,D_Pretrained_Std4f,2.0533204078674316,60.0
1,7,A_Faiman+bias,3.337284564971924,60.0
1,7,B_Scratch_Res5f,2.668511152267456,60.0
1,7,C_Pretrained_Res5f,3.0073745250701904,60.0
1,7,D_Pretrained_Std4f,3.4621920585632324,60.0
1,8,A_Faiman+bias,3.325441837310791,60.0
1,8,B_Scratch_Res5f,3.644707202911377,60.0
1,8,C_Pretrained_Res5f,3.7728748321533203,60.0
1,8,D_Pretrained_Std4f,3.581340789794922,60.0
1,9,A_Faiman+bias,4.813614368438721,60.0
1,9,B_Scratch_Res5f,3.0405688285827637,60.0
1,9,C_Pretrained_Res5f,3.9125654697418213,60.0
1,9,D_Pretrained_Std4f,3.6413207054138184,60.0
3,0,A_Faiman+bias,3.5278687477111816,180.0
3,0,B_Scratch_Res5f,1.9834041595458984,180.0
3,0,C_Pretrained_Res5f,2.1039931774139404,180.0
